t,lead_I,lead_II,v3,v4
0.0,-1556,-19579,-17054,-226
2.0,-1425,-20026,-17865,-1093
4.0,-1144,-19924,-17938,-1240
6.0,-1143,-19570,-17768,-1153
8.0,-1405,-19497,-17846,-1283
10.0,-1360,-19781,-17831,-1252
12.0,-1129,-20266,-17622,-966
14.0,-1268,-20777,-17664,-945
16.0,-1616,-21010,-17971,-1277
18.0,-1715,-20907,-18161,-1544
20.0,-1641,-20951,-18226,-1641
22.0,-1601,-21377,-18321,-1680
24.0,-1552,-21674,-18383,-1646
26.0,-1503,-21541,-18466,-1654
28.0,-1489,-21435,-18655,-1796
30.0,-1411,-21596,-18706,-1826
32.0,-1333,-21671,-18535,-1684
34.0,-1480,-21675,-18486,-1696
36.0,-1773,-21975,-18608,-1847
38.0,-1871,-22288,-18616,-1845
40.0,-1685,-22077,-18583,-1844
42.0,-1421,-21656,-18663,-1997
44.0,-1239,-21644,-18632,-1959
46.0,-1172,-21870,-18496,-1719
48.0,-1238,-21866,-18591,-1792
50.0,-1429,-21766,-18758,-2121
52.0,-1625,-21876,-18639,-2177
54.0,-1655,-22028,-18526,-2062
56.0,-1496,-21988,-18750,-2173
58.0,-1358,-21990,-18999,-2340
60.0,-1407,-22359,-19099,-2290
62.0,-1486,-22919,-19350,-2113
64.0,-1339,-23171,-19637,-1778
66.0,-1063,-22932,-19513,-1206
68.0,-1025,-22509,-19153,-797
70.0,-1304,-22210,-18985,-872
72.0,-1493,-22003,-18796,-1037
74.0,-1230,-21756,-18205,-888
76.0,-704,-21462,-17374,-598
78.0,-388,-21026,-16588,-411
80.0,-424,-20258,-15882,-449
82.0,-645,-19292,-15339,-967
84.0,-1077,-18556,-15103,-1903
86.0,-1874,-18312,-15246,-2687
88.0,-2812,-18769,-16010,-3205
90.0,-3500,-20307,-17706,-4109
92.0,-4057,-22866,-20313,-5865
94.0,-4865,-25632,-23560,-8362
96.0,-5750,-27901,-26913,-11156
98.0,-6166,-29476,-29312,-13323
100.0,-6058,-30139,-29975,-13975
102.0,-5832,-29934,-29476,-13488
104.0,-5640,-29657,-28891,-13026
106.0,-5354,-29772,-28391,-12848
108.0,-5002,-29621,-27713,-12373
110.0,-4682,-28776,-27005,-11474
112.0,-4276,-27902,-26309,-10456
114.0,-3656,-27442,-25311,-9385
116.0,-2897,-26885,-24089,-8243
118.0,-2138,-25899,-23077,-7168
120.0,-1550,-24896,-22320,-6188
122.0,-1389,-24252,-21546,-5209
124.0,-1668,-23915,-20705,-4241
126.0,-2003,-23718,-19958,-3381
128.0,-2105,-23481,-19441,-2752
130.0,-2016,-23024,-19146,-2428
132.0,-1725,-22355,-18889,-2260
134.0,-1225,-21704,-18567,-2007
136.0,-894,-21378,-18359,-1722
138.0,-1070,-21582,-18381,-1636
140.0,-1401,-22085,-18446,-1704
142.03,-1325,-22249,-18417,-1696
144.05,-937,-21863,-18345,-1559
146.08,-753,-21547,-18212,-1373
148.1,-905,-21750,-18035,-1233
150.1,-1076,-21994,-18020,-1252
152.1,-1063,-21807,-18128,-1352
154.1,-1010,-21512,-18008,-1226
156.1,-1043,-21422,-17684,-863
158.1,-1049,-21302,-17547,-644
160.1,-973,-21144,-17588,-675
162.1,-987,-21271,-17544,-700
164.1,-1110,-21450,-17571,-723
166.1,-1095,-21198,-17809,-874
168.1,-904,-20846,-17870,-904
170.1,-788,-20964,-17574,-634
172.1,-827,-21222,-17333,-390
174.1,-898,-21071,-17327,-373
176.1,-945,-20784,-17269,-306
178.1,-923,-20774,-17114,-93
180.1,-781,-20828,-17051,4
182.1,-678,-20729,-17009,-29
184.1,-783,-20675,-16826,56
186.1,-921,-20693,-16559,246
188.1,-852,-20514,-16316,293
190.1,-644,-20132,-16113,225
192.1,-466,-19821,-15937,363
194.1,-358,-19707,-15796,760
196.1,-343,-19707,-15781,1027
198.1,-412,-19722,-15899,944
200.1,-429,-19694,-15878,861
202.1,-284,-19589,-15573,1065
204.1,-18,-19406,-15356,1286
206.1,298,-19162,-15482,1300
208.1,651,-18898,-15535,1395
210.1,950,-18679,-15145,1800
212.1,1030,-18574,-14615,2252
214.1,900,-18569,-14325,2417
216.1,836,-18524,-14169,2302
218.1,991,-18331,-13938,2214
220.1,1105,-18059,-13690,2469
222.1,962,-17807,-13514,3013
224.1,819,-17566,-13358,3439
226.1,970,-17372,-13199,3553
228.1,1265,-17319,-13130,3558
230.1,1419,-17367,-13200,3568
232.1,1373,-17407,-13262,3503
234.1,1197,-17385,-13114,3487
236.1,1048,-17208,-12782,3732
238.1,1121,-16866,-12500,4091
240.1,1379,-16600,-12394,4268
242.1,1647,-16502,-12393,4259
244.1,1957,-16323,-12431,4205
246.1,2321,-16061,-12482,4137
248.1,2490,-16062,-12493,4088
250.1,2357,-16322,-12548,4070
252.1,2143,-16513,-12797,3975
254.1,1932,-16667,-13025,3847
256.1,1615,-16968,-12920,3892
258.1,1289,-17220,-12835,3933
260.1,1099,-17251,-13337,3564
262.1,933,-17327,-14104,2999
264.1,735,-17591,-14409,2826
266.1,642,-17756,-14341,2964
268.1,575,-17720,-14394,2908
270.1,320,-17816,-14509,2669
272.1,61,-18172,-14528,2535
274.1,109,-18537,-14669,2452
276.1,265,-18828,-14942,2303
278.1,205,-19174,-15088,2162
280.1,113,-19439,-15198,2011
282.1,211,-19411,-15440,1813
284.1,237,-19333,-15593,1693
286.1,10,-19544,-15578,1634
288.1,-198,-19843,-15701,1462
290.1,-236,-19882,-15981,1215
292.1,-256,-19806,-16140,1030
294.1,-264,-19905,-16220,898
296.1,-212,-20052,-16395,854
298.1,-252,-20030,-16562,927
300.1,-325,-19975,-16652,868
302.1,-134,-20073,-16739,566
304.1,169,-20182,-16723,382
306.1,149,-20115,-16517,534
308.1,-127,-20000,-16308,774
310.1,-375,-20054,-16176,969
312.1,-697,-20145,-16029,1171
314.1,-1084,-19986,-15988,1195
316.1,-1142,-19724,-16148,965
318.1,-889,-19761,-16278,809
320.1,-794,-19996,-16320,836
322.13,-860,-20008,-16496,747
324.15,-755,-19903,-16672,546
326.18,-593,-20031,-16568,523
328.2,-582,-20125,-16400,647
330.2,-516,-19864,-16411,753
332.2,-367,-19696,-16386,879
334.2,-541,-19948,-16290,956
336.2,-1072,-20054,-16433,820
338.2,-1424,-19736,-16717,630
340.2,-1343,-19656,-16715,617
342.2,-1130,-20003,-16441,716
344.2,-1026,-19989,-16220,843
346.2,-911,-19439,-16157,1024
348.2,-696,-19184,-16201,1140
350.2,-544,-19408,-16307,1085
352.2,-536,-19388,-16390,982
354.2,-457,-19060,-16425,883
356.2,-214,-19111,-16416,766
358.2,-85,-19553,-16271,794
360.2,-233,-19782,-16057,956
362.2,-432,-19772,-16056,868
364.2,-595,-19910,-16231,539
366.2,-932,-20145,-16239,511
368.2,-1327,-20222,-16129,798
370.2,-1337,-20212,-16272,770
372.2,-966,-20270,-16627,346
374.2,-681,-20386,-16850,88
376.2,-639,-20511,-16905,132
378.2,-603,-20592,-16940,128
380.2,-521,-20640,-16986,-5
382.2,-567,-20799,-17096,-112
384.2,-732,-21059,-17291,-183
386.2,-847,-21152,-17351,-219
388.2,-895,-21003,-17171,-159
390.2,-986,-20880,-17007,-53
392.2,-1103,-20898,-17014,20
394.2,-1081,-20892,-17038,66
396.2,-862,-20818,-17049,53
398.2,-678,-20795,-17127,-30
400.2,-786,-20850,-17166,-87
402.2,-1027,-20958,-17139,-147
404.2,-1029,-21091,-17261,-321
406.2,-844,-21098,-17477,-451
408.2,-827,-20907,-17460,-327
410.2,-958,-20790,-17273,-141
412.2,-969,-20992,-17253,-137
414.2,-947,-21362,-17416,-173
416.2,-1078,-21699,-17648,-95
418.2,-1163,-21979,-17956,43
420.2,-1049,-22058,-18090,315
422.2,-951,-21809,-17763,778
424.2,-901,-21483,-17296,1108
426.2,-700,-21315,-17109,1059
428.2,-551,-21194,-16934,905
430.2,-728,-21045,-16376,979
432.2,-807,-20802,-15518,1319
434.2,-356,-20084,-14560,1789
436.2,94,-18889,-13737,1999
438.2,-126,-18019,-13431,1616
440.2,-769,-17965,-13612,1099
442.2,-1371,-18445,-13944,1043
444.2,-2093,-19555,-14830,860
446.2,-3077,-21725,-17000,-501
448.2,-3948,-24357,-20094,-2919
450.2,-4492,-26265,-23025,-5481
452.2,-4976,-27263,-25219,-7617
454.2,-5498,-27915,-26419,-8923
456.2,-5710,-28343,-26389,-9117
458.2,-5405,-28367,-25624,-8699
460.2,-4912,-28041,-25087,-8456
462.2,-4611,-27506,-24926,-8347
464.2,-4378,-26882,-24535,-7871
466.2,-3890,-26302,-23695,-7010
468.2,-3254,-25703,-22734,-6065
470.2,-2776,-24948,-21838,-5145
472.2,-2428,-24210,-20905,-4213
474.2,-2062,-23680,-19940,-3288
476.2,-1704,-23163,-19182,-2465
478.2,-1341,-22512,-18726,-1795
480.2,-966,-22016,-18307,-1158
482.2,-794,-21862,-17790,-507
484.2,-849,-21737,-17474,-122
486.2,-781,-21414,-17476,-136
488.2,-538,-21186,-17413,-158
490.2,-475,-21288,-17133,96
492.2,-655,-21431,-16978,360
494.2,-877,-21352,-17049,415
496.2,-1135,-21295,-17090,405
498.2,-1344,-21465,-17081,391
500.2,-1228,-21555,-17135,318
502.23,-909,-21313,-17112,322
504.25,-786,-21015,-16930,475
506.28,-840,-20900,-16776,612
508.3,-857,-20763,-16692,706
510.3,-942,-20521,-16551,886
512.3,-1124,-20499,-16428,1050
514.3,-1115,-20712,-16467,1013
516.3,-886,-20650,-16587,876
518.3,-775,-20242,-16639,835
520.3,-893,-20144,-16608,884
522.3,-1006,-20567,-16536,942
524.3,-926,-20828,-16451,1000
526.3,-694,-20535,-16304,1131
528.3,-559,-20159,-15999,1416
530.3,-717,-20075,-15671,1729
532.3,-885,-20091,-15627,1794
534.3,-609,-20033,-15786,1666
536.3,-125,-19914,-15755,1694
538.3,-79,-19728,-15583,1840
540.3,-370,-19576,-15655,1753
542.3,-381,-19572,-15870,1547
544.3,-181,-19567,-15806,1622
546.3,-229,-19480,-15501,1906
548.3,-307,-19493,-15242,2096
550.3,-12,-19499,-15005,2242
552.3,314,-19191,-14727,2465
554.3,278,-18822,-14554,2648
556.3,187,-18826,-14479,2759
558.3,348,-18920,-14348,2878
560.3,526,-18661,-14214,2923
562.3,532,-18310,-14127,2902
564.3,506,-18203,-13908,3060
566.3,557,-18082,-13530,3420
568.3,707,-17751,-13223,3702
570.3,966,-17497,-13066,3804
572.3,1224,-17437,-12974,3848
574.3,1359,-17332,-12879,3951
576.3,1379,-17131,-12620,4269
578.3,1322,-16950,-12169,4758
580.3,1339,-16703,-11956,4931
582.3,1651,-16381,-12171,4627
584.3,2037,-16245,-12211,4504
586.3,2022,-16300,-11746,4922
