t,pcg
0.0,-180
1.0,-220
2.0,-194
3.0,-186
4.0,-168
5.0,127
6.0,384
7.0,431
8.0,497
9.0,525
10.0,463
11.0,431
12.0,447
13.0,426
14.0,372
15.0,312
16.0,282
17.0,222
18.0,156
19.0,140
20.0,71
21.0,-10
22.0,37
23.0,104
24.0,92
25.0,113
26.0,182
27.0,192
28.0,193
29.0,241
30.0,211
31.0,103
32.0,46
33.0,42
34.0,-19
35.0,-97
36.0,-100
37.0,-93
38.0,-96
39.0,-80
40.0,-44
41.0,-9
42.0,-55
43.0,-116
44.0,-96
45.0,-94
46.0,-104
47.0,-74
48.0,-32
49.0,-13
50.0,-74
51.0,-149
52.0,-160
53.0,-160
54.0,-170
55.0,-163
56.0,-152
57.0,-123
58.0,-44
59.0,11
60.0,60
61.0,132
62.0,134
63.0,117
64.0,126
65.0,58
66.0,-35
67.0,-43
68.0,-55
69.0,-139
70.0,-175
71.0,-165
72.0,-209
73.0,-206
74.0,-108
75.0,-60
76.0,-58
77.0,-50
78.0,-90
79.0,-137
80.0,-141
81.0,-133
82.0,-119
83.0,-97
84.0,-88
85.0,-87
86.0,-78
87.0,-56
88.0,-18
89.0,35
90.0,83
91.0,113
92.0,163
93.0,231
94.0,263
95.0,282
96.0,326
97.0,332
98.0,312
99.0,336
100.0,322
101.0,269
102.0,240
103.0,143
104.0,5
105.0,-61
106.0,-101
107.0,-188
108.0,-301
109.0,-382
110.0,-403
111.0,-403
112.0,-406
113.0,-367
114.0,-259
115.0,-132
116.0,-53
117.0,-19
118.0,4
119.0,-3
120.0,-54
121.0,-113
122.0,-160
123.0,-211
124.0,-253
125.0,-254
126.0,-215
127.0,-148
128.0,-75
129.0,13
130.0,106
131.0,151
132.0,157
133.0,126
134.0,16
135.0,-154
136.0,-322
137.0,-472
138.0,-585
139.0,-608
140.0,-562
141.0,-482
142.0,-350
143.0,-169
144.0,50
145.0,282
146.0,483
147.0,654
148.0,798
149.0,885
150.0,908
151.0,875
152.0,811
153.0,739
154.0,662
155.0,574
156.0,470
157.0,372
158.0,291
159.0,224
160.0,164
161.0,111
162.0,88
163.0,81
164.0,65
165.0,70
166.0,97
167.0,105
168.0,105
169.0,121
170.0,142
171.0,168
172.0,207
173.0,269
174.0,360
175.0,450
176.0,494
177.0,468
178.0,367
179.0,216
180.0,63
181.0,-115
182.0,-287
183.0,-337
184.0,-234
185.0,37
186.0,486
187.0,1002
188.0,1448
189.0,1749
190.0,1880
191.0,1799
192.0,1346
193.0,352
194.0,-1292
195.0,-3457
196.0,-5992
197.0,-8642
198.0,-10172
199.0,-10246
200.0,-10191
201.0,-10221
202.0,-9011
203.0,-5847
204.0,-1410
205.0,3674
206.0,8323
207.0,10290
208.0,10160
209.0,10179
210.0,10366
211.0,9382
212.0,7135
213.0,5266
214.0,3956
215.0,2346
216.0,839
217.0,-23
218.0,-1143
219.0,-3315
220.0,-6452
221.0,-9340
222.0,-10332
223.0,-10194
224.0,-10197
225.0,-10338
226.0,-9518
227.0,-6927
228.0,-3769
229.0,-825
230.0,1848
231.0,3754
232.0,4583
233.0,4641
234.0,4336
235.0,3706
236.0,2846
237.0,2159
238.0,2069
239.0,2704
240.0,3904
241.0,5436
242.0,7003
243.0,8328
244.0,9242
245.0,9649
246.0,9520
247.0,8875
248.0,7842
249.0,6617
250.0,5333
251.0,4111
252.0,3097
253.0,2287
254.0,1565
