t,pcg
0.0,1155
1.0,-494
2.0,-888
3.0,-4629
4.0,-6004
5.0,5025
6.0,11635
7.0,8350
8.0,3804
9.0,-2998
10.0,-8859
11.0,-10362
12.0,-10082
13.0,-10215
14.0,-10391
15.0,-9717
16.0,-7534
17.0,-5283
18.0,-3393
19.0,-1568
20.0,-189
21.0,831
22.0,1585
23.0,1992
24.0,2148
25.0,2215
26.0,2271
27.0,2305
28.0,2223
29.0,1931
30.0,1445
31.0,895
32.0,460
33.0,264
34.0,310
35.0,494
36.0,687
37.0,836
38.0,906
39.0,850
40.0,709
41.0,561
42.0,389
43.0,200
44.0,62
45.0,-41
46.0,-117
47.0,-121
48.0,-79
49.0,-48
50.0,-39
51.0,-26
52.0,-41
53.0,-97
54.0,-191
55.0,-322
56.0,-397
57.0,-405
58.0,-396
59.0,-341
60.0,-275
61.0,-208
62.0,-116
63.0,-48
64.0,35
65.0,137
66.0,165
67.0,131
68.0,118
69.0,139
70.0,142
71.0,131
72.0,134
73.0,144
74.0,162
75.0,182
76.0,200
77.0,178
78.0,90
79.0,20
80.0,-46
81.0,-156
82.0,-197
83.0,-214
84.0,-279
85.0,-302
86.0,-282
87.0,-244
88.0,-233
89.0,-305
90.0,-407
91.0,-439
92.0,-352
93.0,-215
94.0,-87
95.0,35
96.0,134
97.0,168
98.0,146
99.0,141
100.0,162
101.0,201
102.0,240
103.0,241
104.0,267
105.0,292
106.0,281
107.0,291
108.0,270
109.0,197
110.0,150
111.0,92
112.0,11
113.0,28
114.0,86
115.0,116
116.0,171
117.0,222
118.0,214
119.0,141
120.0,68
121.0,31
122.0,-5
123.0,-30
124.0,-54
125.0,-78
126.0,-89
127.0,-123
128.0,-175
129.0,-210
130.0,-240
131.0,-254
132.0,-233
133.0,-191
134.0,-133
135.0,-39
136.0,60
137.0,122
138.0,196
139.0,294
140.0,342
141.0,329
142.0,319
143.0,298
144.0,250
145.0,208
146.0,147
147.0,44
148.0,-79
149.0,-184
150.0,-268
151.0,-396
152.0,-602
153.0,-881
154.0,-1146
155.0,-1072
156.0,-482
157.0,185
158.0,658
159.0,1191
160.0,1737
161.0,2086
162.0,2257
163.0,2160
164.0,1686
165.0,1004
166.0,281
167.0,-420
168.0,-985
169.0,-1349
170.0,-1545
171.0,-1628
172.0,-1641
173.0,-1664
174.0,-1658
175.0,-1497
176.0,-1242
177.0,-1008
178.0,-788
179.0,-584
180.0,-422
181.0,-254
182.0,-83
183.0,37
184.0,132
185.0,243
186.0,337
187.0,384
188.0,418
189.0,451
190.0,457
191.0,438
192.0,401
193.0,347
194.0,320
195.0,325
196.0,328
197.0,336
198.0,253
199.0,153
200.0,194
201.0,6
202.0,-208
203.0,-46
204.0,65
205.0,104
206.0,300
207.0,452
208.0,529
209.0,603
210.0,585
211.0,503
212.0,399
213.0,268
214.0,151
215.0,45
216.0,-34
217.0,-63
218.0,-86
219.0,-121
220.0,-147
221.0,-200
222.0,-280
223.0,-326
224.0,-335
225.0,-321
226.0,-278
227.0,-210
228.0,-166
229.0,-142
230.0,-62
231.0,29
232.0,40
233.0,39
234.0,85
235.0,78
236.0,0
237.0,-13
238.0,23
239.0,26
240.0,58
241.0,103
242.0,79
243.0,62
244.0,51
