t,pcg
0.0,-2
1.0,-1
2.0,-1
3.0,0
4.0,2
5.0,-4
6.0,-9
7.0,-8
8.0,-9
9.0,-13
10.0,-12
11.0,-9
12.0,-9
13.0,-7
14.0,-4
15.0,-2
16.0,-3
17.0,-4
18.0,-2
19.0,1
20.0,1
21.0,1
22.0,-1
23.0,-2
24.0,4
25.0,11
26.0,10
27.0,7
28.0,5
29.0,4
30.0,5
31.0,8
32.0,9
33.0,7
34.0,7
35.0,6
36.0,2
37.0,0
38.0,0
39.0,2
40.0,2
41.0,2
42.0,3
43.0,5
44.0,9
45.0,11
46.0,9
47.0,8
48.0,6
49.0,3
50.0,-1
51.0,-2
52.0,0
53.0,2
54.0,1
55.0,-2
56.0,-3
57.0,-1
58.0,1
59.0,1
60.0,-2
61.0,-5
62.0,-3
63.0,1
64.0,2
65.0,1
66.0,1
67.0,1
68.0,-3
69.0,-3
70.0,-2
71.0,-4
72.0,-5
73.0,-3
74.0,-2
75.0,-1
76.0,0
77.0,1
78.0,0
79.0,0
80.0,1
81.0,0
82.0,-3
83.0,-5
84.0,-8
85.0,-12
86.0,2
87.0,23
88.0,28
89.0,20
90.0,22
91.0,39
92.0,41
93.0,19
94.0,-4
95.0,-19
96.0,-28
97.0,-33
98.0,-28
99.0,-15
100.0,-4
101.0,0
102.0,-4
103.0,-14
104.0,-23
105.0,-25
106.0,-21
107.0,-14
108.0,-6
109.0,2
110.0,7
111.0,7
112.0,5
113.0,1
114.0,-3
115.0,-3
116.0,-5
117.0,-7
118.0,-7
119.0,-6
120.0,-6
121.0,-7
122.0,-9
123.0,-10
124.0,-7
125.0,-3
126.0,3
127.0,8
128.0,13
129.0,19
130.0,21
131.0,18
132.0,14
133.0,12
134.0,10
135.0,8
136.0,8
137.0,10
138.0,10
139.0,9
140.0,10
141.0,11
142.0,13
143.0,12
144.0,12
145.0,8
146.0,0
147.0,-5
148.0,-4
149.0,-2
150.0,-2
151.0,-3
152.0,-3
153.0,-3
154.0,-4
155.0,-6
156.0,-9
157.0,-10
158.0,-10
159.0,-10
160.0,-9
161.0,-5
162.0,0
163.0,0
164.0,2
165.0,4
166.0,4
167.0,4
168.0,3
169.0,2
170.0,1
171.0,0
172.0,0
173.0,-1
174.0,-1
175.0,-2
176.0,-1
177.0,1
178.0,0
179.0,-2
180.0,-5
181.0,-8
182.0,-5
183.0,1
184.0,2
185.0,2
186.0,0
187.0,-4
188.0,-8
189.0,-10
190.0,-10
191.0,-9
192.0,-8
193.0,-8
194.0,-8
195.0,-8
196.0,-8
197.0,-6
198.0,-3
199.0,-2
200.0,-3
201.0,-4
202.0,-5
203.0,0
204.0,2
205.0,-4
206.0,-6
207.0,-3
208.0,-2
209.0,-1
210.0,4
211.0,11
212.0,15
213.0,14
214.0,10
215.0,6
216.0,3
217.0,-2
218.0,-7
219.0,-11
220.0,-11
221.0,-7
222.0,-6
223.0,-9
224.0,-9
225.0,-6
226.0,-3
227.0,-1
228.0,1
229.0,1
230.0,-1
231.0,-2
232.0,-3
233.0,-4
234.0,-4
235.0,-2
236.0,0
237.0,3
238.0,7
239.0,8
240.0,9
241.0,11
242.0,9
243.0,5
244.0,3
245.0,0
246.0,0
247.0,1
248.0,1
249.0,2
250.0,3
251.0,3
252.0,2
253.0,-1
254.0,-3
255.0,-3
256.0,-1
257.0,3
258.0,5
259.0,3
260.0,1
261.0,2
262.0,1
263.0,-1
264.0,-5
265.0,-8
266.0,-7
267.0,-5
268.0,-7
269.0,-9
270.0,-9
271.0,-9
272.0,-8
273.0,-7
274.0,-6
275.0,-7
276.0,-6
277.0,-5
278.0,-5
279.0,-6
280.0,-6
281.0,-8
282.0,-9
283.0,-2
284.0,4
285.0,5
286.0,7
287.0,9
288.0,8
289.0,6
290.0,4
291.0,0
292.0,-4
293.0,-6
294.0,-6
295.0,-7
296.0,-6
297.0,-5
298.0,-3
299.0,0
300.0,0
301.0,-1
302.0,2
303.0,8
304.0,10
305.0,11
306.0,13
307.0,14
308.0,13
309.0,11
310.0,6
311.0,2
312.0,2
313.0,1
314.0,-1
315.0,-1
316.0,0
317.0,-1
318.0,-1
319.0,-1
320.0,-1
321.0,-1
322.0,0
323.0,-1
324.0,-2
325.0,-3
326.0,-3
327.0,-3
328.0,-3
329.0,-3
330.0,-3
331.0,-3
332.0,-3
333.0,-3
334.0,-3
335.0,-6
336.0,-7
337.0,-8
338.0,-7
339.0,-5
340.0,-5
341.0,-7
342.0,-8
343.0,-9
344.0,-12
345.0,-13
346.0,-13
347.0,-13
348.0,-13
349.0,-9
350.0,-4
351.0,0
352.0,1
353.0,3
354.0,7
355.0,9
356.0,9
357.0,7
358.0,5
359.0,2
360.0,-2
361.0,-6
362.0,-9
363.0,-8
364.0,-5
365.0,-4
366.0,-4
367.0,-2
368.0,3
369.0,8
370.0,12
371.0,16
372.0,18
373.0,20
374.0,22
375.0,24
376.0,25
377.0,23
378.0,17
379.0,11
380.0,5
381.0,-1
382.0,-7
383.0,-15
384.0,-23
385.0,-26
386.0,-28
387.0,-27
388.0,-22
389.0,-15
390.0,-6
391.0,4
392.0,17
393.0,33
394.0,40
395.0,33
396.0,19
397.0,3
398.0,-13
399.0,-34
400.0,-71
401.0,-100
402.0,-100
403.0,-83
404.0,-65
405.0,-50
406.0,-30
407.0,6
408.0,40
409.0,51
410.0,53
411.0,59
412.0,60
413.0,62
414.0,68
415.0,53
416.0,28
417.0,17
418.0,1
419.0,-28
420.0,-45
421.0,-47
422.0,-49
423.0,-47
424.0,-25
425.0,1
426.0,15
427.0,19
428.0,16
429.0,14
430.0,10
431.0,3
432.0,-3
433.0,-22
434.0,-48
435.0,-45
436.0,-12
437.0,29
438.0,67
439.0,95
440.0,113
441.0,126
442.0,127
443.0,107
444.0,74
445.0,39
446.0,2
447.0,-30
448.0,-56
449.0,-74
450.0,-85
451.0,-95
452.0,-99
453.0,-91
454.0,-77
455.0,-60
456.0,-38
457.0,-18
458.0,-2
459.0,12
460.0,15
461.0,12
462.0,3
463.0,-12
464.0,-23
465.0,-29
466.0,-33
467.0,-28
468.0,-18
469.0,-13
470.0,-10
471.01,-1
472.02,11
473.03,17
474.04,20
475.05,22
476.06,24
477.07,28
478.08,28
479.09,28
480.1,29
481.1,24
482.1,15
483.1,9
484.1,1
485.1,-9
486.1,-15
487.1,-19
488.1,-19
489.1,-9
490.1,3
491.1,10
492.1,17
493.1,23
494.1,26
495.1,29
496.1,30
497.1,29
498.1,28
499.1,28
500.1,27
501.1,20
502.1,9
503.1,-2
504.1,-6
505.1,-12
506.1,-17
507.1,-17
508.1,-15
509.1,-13
510.1,-12
511.1,-13
512.1,-13
513.1,-8
514.1,-4
515.1,-5
516.1,-8
517.1,-11
518.1,-13
519.1,-15
520.1,-16
521.1,-18
522.1,-18
523.1,-18
524.1,-20
525.1,-18
526.1,-15
527.1,-16
528.1,-17
529.1,-17
530.1,-19
531.1,-19
532.1,-19
533.1,-19
534.1,-21
535.1,-22
536.1,-11
537.1,-6
538.1,-25
539.1,-31
540.1,-10
541.1,7
542.1,1
543.1,0
544.1,14
545.1,21
546.1,14
547.1,10
548.1,15
549.1,22
550.1,21
551.1,14
552.1,13
553.1,16
554.1,16
555.1,13
556.1,11
557.1,13
558.1,14
559.1,9
560.1,7
561.1,9
562.1,9
563.1,9
564.1,9
565.1,10
566.1,9
567.1,12
568.1,13
569.1,14
570.1,17
571.1,19
572.1,16
573.1,13
574.1,13
575.1,12
576.1,7
577.1,2
578.1,-6
579.1,-14
580.1,-16
581.1,-15
582.1,-14
583.1,-13
584.1,-11
585.1,-9
586.1,-5
587.1,-3
588.1,-6
589.1,-9
590.1,-10
591.1,-9
592.1,-11
593.1,-12
594.1,-13
595.1,-12
596.1,-7
597.1,-4
598.1,-6
599.1,-6
600.1,-6
601.1,-5
602.1,-3
603.1,-3
604.1,-6
605.1,-7
606.1,-4
607.1,-2
608.1,-8
609.1,-16
610.1,-13
611.1,2
612.1,18
613.1,16
614.1,4
615.1,5
616.1,11
617.1,12
618.1,18
619.1,31
620.1,41
621.1,29
622.1,5
623.1,-18
624.1,-42
625.1,-56
626.1,-55
627.1,-41
628.1,-17
629.1,1
630.1,0
631.1,-14
632.1,-23
633.1,-23
634.1,-16
635.1,-5
636.1,5
637.1,13
638.1,19
