t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
2.1,139.31,202.53,-186.47,-161.3
11.9,138.31,201.53,-186.47,-161.3
21.8,136.31,200.53,-186.47,-166.3
31.7,135.31,200.53,-186.47,-166.3
41.6,132.31,200.53,-186.47,-173.3
51.5,130.31,200.53,-186.47,-173.3
61.4,130.31,198.53,-183.47,-175.3
71.3,127.31,199.53,-183.47,-175.3
81.1,125.31,199.53,-176.47,-173.3
91.0,123.31,197.53,-176.47,-173.3
100.9,120.31,196.53,-169.47,-173.3
110.8,118.31,197.53,-169.47,-173.3
120.7,118.31,197.53,-164.47,-173.3
130.6,117.31,195.53,-158.47,-174.3
140.5,115.31,197.53,-157.47,-174.3
150.3,114.31,199.53,-151.47,-173.3
160.2,116.31,200.53,-143.47,-171.3
170.1,114.31,200.53,-134.47,-167.3
180.0,116.31,200.53,-124.47,-164.3
189.9,118.31,199.53,-117.47,-164.3
199.8,119.31,199.53,-112.47,-164.3
209.7,123.31,199.53,-107.47,-169.3
219.5,123.31,199.53,-109.47,-178.3
229.4,126.31,198.53,-117.47,-193.3
239.3,127.31,197.53,-135.47,-212.3
249.2,129.31,199.53,-153.47,-229.3
259.1,129.31,198.53,-166.47,-241.3
269.0,131.31,199.53,-177.47,-249.3
278.9,129.31,198.53,-182.47,-254.3
288.7,130.31,198.53,-181.47,-251.3
298.6,130.31,197.53,-175.47,-247.3
308.5,128.31,196.53,-167.47,-240.3
318.4,128.31,196.53,-155.47,-232.3
328.3,126.31,196.53,-140.47,-222.3
338.2,126.31,196.53,-126.47,-212.3
348.1,123.31,195.53,-110.47,-203.3
357.9,123.31,195.53,-100.47,-195.3
367.8,121.31,194.53,-88.467,-188.3
377.7,121.31,194.53,-78.467,-181.3
387.6,120.31,194.53,-68.467,-177.3
397.5,120.31,194.53,-58.467,-170.3
407.4,118.31,193.53,-49.467,-165.3
417.3,118.31,193.53,-38.467,-160.3
427.1,114.31,191.53,-29.467,-156.3
437.0,114.31,191.53,-22.467,-152.3
446.9,110.31,190.53,-16.467,-149.3
456.8,110.31,190.53,-12.467,-148.3
466.7,110.31,189.53,-9.4671,-149.3
476.6,107.31,188.53,-8.4671,-151.3
486.5,108.31,188.53,-4.4671,-152.3
496.3,105.31,186.53,-1.4671,-154.3
506.2,104.31,186.53,-1.4671,-156.3
516.1,102.31,186.53,3.5329,-156.3
526.0,101.31,186.53,6.5329,-156.3
535.9,100.31,186.53,9.5329,-156.3
545.8,98.312,185.53,13.533,-156.3
555.7,96.312,185.53,17.533,-154.3
565.5,94.312,183.53,22.533,-155.3
575.4,91.312,182.53,25.533,-153.3
585.3,89.312,182.53,31.533,-151.3
595.2,89.312,182.53,37.533,-149.3
605.1,88.312,181.53,39.533,-149.3
615.0,86.312,181.53,42.533,-148.3
624.9,85.312,180.53,44.533,-149.3
634.7,84.312,179.53,43.533,-153.3
644.6,82.312,179.53,43.533,-154.3
654.5,82.312,180.53,42.533,-158.3
664.4,79.312,179.53,44.533,-159.3
674.3,78.312,178.53,45.533,-159.3
684.2,77.312,179.53,52.533,-157.3
694.1,75.312,178.53,54.533,-156.3
703.9,72.312,177.53,55.533,-156.3
713.8,72.312,177.53,60.533,-156.3
723.7,68.312,175.53,61.533,-156.3
733.6,66.312,176.53,62.533,-156.3
743.5,66.312,177.53,66.533,-157.3
753.4,64.312,176.53,67.533,-160.3
763.3,62.312,177.53,72.533,-158.3
773.1,63.312,179.53,78.533,-156.3
783.0,65.312,180.53,81.533,-153.3
792.9,65.312,181.53,87.533,-153.3
802.8,68.312,181.53,87.533,-153.3
812.7,73.312,183.53,92.533,-154.3
822.6,74.312,183.53,89.533,-161.3
832.5,78.312,182.53,84.533,-169.3
842.3,80.312,182.53,81.533,-175.3
852.2,85.312,183.53,77.533,-182.3
862.1,88.312,184.53,70.533,-188.3
872.0,91.312,183.53,66.533,-195.3
881.9,92.312,184.53,63.533,-199.3
891.8,93.312,183.53,63.533,-201.3
901.7,91.312,182.53,62.533,-203.3
911.5,94.312,183.53,62.533,-202.3
921.4,94.312,184.53,62.533,-202.3
931.3,95.312,184.53,71.533,-196.3
941.2,94.312,184.53,71.533,-196.3
951.1,95.312,184.53,91.533,-181.3
961.0,96.312,185.53,91.533,-181.3
970.9,94.312,185.53,116.53,-164.3
980.7,95.312,185.53,116.53,-164.3
990.6,95.312,185.53,133.53,-152.3
1000.5,95.312,186.53,133.53,-152.3
1010.4,94.312,186.53,148.53,-142.3
1020.3,96.312,185.53,148.53,-142.3
1030.2,96.312,187.53,154.53,-135.3
