t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.1,108.1,-0.62563,24.321,-10.166
12.9,105.1,0.37437,25.321,-9.1655
22.8,104.1,-0.62563,27.321,-9.1655
32.7,103.1,-0.62563,26.321,-9.1655
42.6,102.1,-1.6256,24.321,-10.166
52.5,100.1,-0.62563,22.321,-9.1655
62.4,98.102,-1.6256,23.321,-9.1655
72.3,98.102,-2.6256,20.321,-10.166
82.1,99.102,-3.6256,17.321,-11.166
92.0,96.102,-3.6256,18.321,-12.166
101.9,98.102,-2.6256,16.321,-12.166
111.8,95.102,-2.6256,15.321,-10.166
121.7,97.102,-2.6256,14.321,-12.166
131.6,95.102,-2.6256,11.321,-13.166
141.5,96.102,-4.6256,10.321,-11.166
151.3,95.102,-4.6256,7.3214,-12.166
161.2,92.102,-4.6256,7.3214,-13.166
171.1,92.102,-5.6256,6.3214,-14.166
181.0,91.102,-6.6256,6.3214,-12.166
190.9,88.102,-6.6256,5.3214,-14.166
200.8,87.102,-6.6256,5.3214,-14.166
210.7,87.102,-6.6256,5.3214,-13.166
220.5,83.102,-8.6256,4.3214,-13.166
230.4,83.102,-8.6256,2.3214,-15.166
240.3,78.102,-10.626,3.3214,-14.166
250.2,78.102,-10.626,1.3214,-14.166
260.1,76.102,-10.626,0.32137,-15.166
270.0,76.102,-10.626,0.32137,-14.166
279.9,71.102,-13.626,-0.67863,-15.166
289.7,71.102,-13.626,0.32137,-16.166
299.6,67.102,-13.626,-1.6786,-15.166
309.5,67.102,-13.626,-3.6786,-15.166
319.4,63.102,-15.626,-4.6786,-16.166
329.3,63.102,-15.626,-5.6786,-15.166
339.2,58.102,-17.626,-6.6786,-15.166
349.1,58.102,-17.626,-7.6786,-15.166
358.9,56.102,-18.626,-7.6786,-17.166
368.8,54.102,-19.626,-9.6786,-15.166
378.7,51.102,-19.626,-10.679,-16.166
388.6,48.102,-20.626,-11.679,-15.166
398.5,47.102,-20.626,-14.679,-16.166
408.4,46.102,-21.626,-18.679,-17.166
