t,lead_I,lead_II,v3,v4
0.0,-4920,-3384,14948,41240
2.0,-4824,-3544,14768,41021
4.0,-5117,-3897,14593,40813
6.0,-5448,-4326,14566,40788
8.0,-5337,-4440,14746,41004
10.0,-5111,-4153,15053,41350
12.0,-5291,-3774,15410,41738
14.0,-5586,-3490,15685,42043
16.0,-5450,-3238,15712,42079
18.0,-5046,-3056,15503,41843
20.0,-4787,-3083,15215,41514
22.0,-4699,-3308,14944,41210
24.0,-4733,-3639,14742,40981
26.0,-4918,-3984,14690,40916
28.0,-5157,-4192,14827,41065
30.0,-5407,-4152,15114,41378
32.0,-5617,-3878,15448,41741
34.0,-5492,-3459,15655,41989
36.0,-5048,-3106,15623,41991
38.0,-4855,-3043,15447,41801
40.0,-5005,-3177,15259,41565
42.0,-4934,-3248,15065,41334
44.0,-4656,-3294,14898,41141
46.0,-4748,-3493,14875,41089
48.0,-5173,-3751,15030,41240
50.0,-5479,-3873,15278,41522
52.0,-5580,-3806,15510,41783
54.0,-5434,-3540,15615,41884
56.0,-4954,-3155,15581,41834
58.0,-4507,-2938,15492,41731
60.0,-4429,-3056,15321,41548
62.0,-4488,-3323,15037,41250
64.0,-4616,-3522,14894,41093
66.0,-5084,-3646,15109,41301
68.0,-5604,-3712,15419,41633
70.0,-5611,-3672,15530,41781
72.0,-5315,-3512,15606,41878
74.0,-5204,-3237,15797,42072
76.0,-5129,-2896,15859,42137
78.0,-4857,-2663,15658,41936
80.0,-4682,-2730,15432,41696
82.0,-4821,-3084,15321,41559
84.0,-4977,-3479,15228,41443
86.0,-4924,-3657,15178,41386
88.0,-4910,-3627,15299,41522
90.0,-5177,-3601,15533,41786
92.0,-5444,-3599,15721,42011
94.0,-5287,-3381,15822,42148
96.0,-4829,-2927,15829,42174
98.0,-4549,-2582,15713,42049
100.0,-4580,-2583,15535,41852
102.0,-4708,-2824,15409,41714
104.0,-4821,-3107,15355,41649
106.0,-4920,-3310,15345,41627
108.0,-4966,-3383,15406,41695
110.0,-5016,-3359,15557,41875
112.0,-5141,-3236,15736,42095
114.0,-5135,-2966,15848,42247
116.0,-4823,-2660,15824,42247
118.0,-4512,-2517,15675,42094
120.0,-4539,-2507,15493,41900
122.0,-4671,-2505,15343,41749
124.0,-4607,-2605,15226,41644
126.0,-4614,-2879,15216,41649
128.0,-4941,-3095,15392,41853
130.0,-5213,-3033,15636,42137
132.0,-5140,-2764,15778,42318
134.0,-5059,-2443,15865,42431
136.0,-5149,-2163,15966,42536
138.0,-5024,-2022,15931,42484
140.0,-4634,-2061,15685,42219
142.0,-4548,-2220,15470,41997
144.0,-4936,-2441,15473,41996
146.0,-5269,-2666,15579,42090
