t,lead_I,lead_II,v3,v4
1.0,-24216,9982,9350,-12792
3.0,-22171,10590,9181,-13027
5.0,-24084,10705,10273,-11896
7.0,-26285,10379,11005,-11112
9.0,-25362,9969,10203,-11948
11.0,-24722,9667,9676,-12523
13.0,-26403,9478,10305,-11885
15.0,-27449,9412,10763,-11417
17.0,-26541,9509,10519,-11695
19.0,-25205,9807,10079,-12172
21.0,-23857,10321,9581,-12683
23.0,-23025,10789,9485,-12773
25.0,-24062,10779,10245,-11989
27.0,-25589,10382,10831,-11375
29.0,-25331,10133,10382,-11818
31.0,-24825,10066,9988,-12212
33.0,-26019,9815,10486,-11698
35.0,-27040,9548,10934,-11228
37.0,-26203,9712,10655,-11493
39.0,-24782,10155,10138,-12000
41.0,-23813,10440,9826,-12317
43.0,-23430,10530,9950,-12198
45.0,-24108,10591,10510,-11601
47.0,-25054,10590,10769,-11291
49.0,-24968,10388,10365,-11700
51.0,-24970,10029,10193,-11911
53.0,-26217,9787,10674,-11427
55.0,-26981,9796,10925,-11135
57.0,-25999,9860,10562,-11479
59.0,-24665,9973,10182,-11871
61.0,-23919,10445,10028,-12038
63.0,-23448,11049,10010,-12046
65.0,-23631,11052,10327,-11706
67.0,-24569,10473,10840,-11185
69.0,-25127,10057,10930,-11113
71.0,-25032,9989,10571,-11497
73.0,-25271,9924,10414,-11675
75.0,-25864,9886,10678,-11437
77.0,-25786,10038,10835,-11297
79.0,-24807,10241,10522,-11628
81.0,-23736,10469,10127,-12061
83.0,-23394,10765,10218,-12006
85.0,-23943,10765,10732,-11474
87.0,-24762,10302,11121,-11030
89.0,-25114,9973,11057,-11067
91.0,-25091,10152,10725,-11414
93.03,-25320,10352,10580,-11569
95.05,-25717,10274,10802,-11329
97.08,-25447,10340,10982,-11124
99.1,-24326,10716,10760,-11348
101.1,-23307,10986,10500,-11642
103.1,-23257,10961,10680,-11489
105.1,-24038,10848,11113,-11056
107.1,-24899,10724,11369,-10799
109.1,-25166,10563,11322,-10871
111.1,-24865,10450,11095,-11131
113.1,-24837,10350,11027,-11214
115.1,-25395,10180,11302,-10936
117.1,-25455,10191,11448,-10777
119.1,-24373,10649,11074,-11133
121.1,-23297,11209,10729,-11470
123.1,-23293,11319,10978,-11225
125.1,-23927,11083,11465,-10748
127.1,-24485,10988,11680,-10538
129.1,-24731,11010,11634,-10588
131.1,-24653,10776,11524,-10704
133.1,-24709,10400,11556,-10683
135.1,-25145,10345,11765,-10503
137.1,-25097,10640,11789,-10526
139.1,-24110,10938,11503,-10859
141.1,-23275,11148,11372,-11020
143.1,-23308,11370,11569,-10830
145.1,-23696,11509,11780,-10609
147.1,-24133,11463,11921,-10444
149.1,-24457,11354,11964,-10376
151.1,-24266,11233,11744,-10592
153.1,-24094,11003,11584,-10755
155.1,-24623,10777,11847,-10483
157.1,-24859,10813,12033,-10290
159.1,-23993,11074,11773,-10552
161.1,-23206,11293,11643,-10665
163.1,-23304,11377,11900,-10363
165.1,-23590,11408,12076,-10151
167.1,-23843,11362,12097,-10105
169.1,-24189,11149,12136,-10038
171.1,-24131,10886,11995,-10160
173.1,-23920,10816,11760,-10396
175.1,-24272,10959,11759,-10400
177.1,-24432,11117,11714,-10456
179.1,-23682,11180,11392,-10798
181.1,-23107,11130,11286,-10893
183.1,-23378,10937,11542,-10581
185.1,-23753,10723,11633,-10441
187.1,-24037,10681,11452,-10618
189.1,-24404,10662,11291,-10800
191.1,-24408,10393,11176,-10935
193.1,-24240,10087,11127,-10990
