t,az
3.10,1394
5.08,1400
7.05,1404
9.03,1430
11.00,1456
13.00,1504
14.98,1550
16.95,1582
18.93,1592
20.90,1626
22.90,1640
24.88,1656
26.85,1670
28.83,1678
30.80,1662
32.70,1626
34.70,1606
36.70,1608
38.70,1568
40.70,1574
42.60,1546
44.58,1528
46.55,1496
48.53,1476
50.50,1472
52.50,1448
54.48,1430
56.45,1426
58.43,1430
60.40,1424
62.40,1448
64.38,1480
66.35,1496
68.33,1506
70.30,1514
72.30,1512
74.28,1524
76.25,1538
78.23,1520
80.20,1532
82.20,1538
84.18,1550
86.15,1536
88.13,1498
90.10,1496
92.10,1532
94.08,1560
96.05,1544
98.03,1572
100.00,1580
101.90,1614
103.90,1670
105.90,1666
107.90,1704
109.90,1728
111.80,1722
113.78,1720
115.75,1734
117.73,1752
119.70,1758
121.70,1758
123.68,1736
125.65,1734
127.63,1704
129.60,1644
131.60,1598
133.58,1574
135.55,1528
137.53,1498
139.50,1462
141.50,1410
143.48,1372
145.45,1362
147.43,1364
149.40,1390
151.40,1436
153.38,1484
155.35,1526
157.33,1550
159.30,1588
161.30,1658
163.28,1698
165.25,1698
167.23,1722
169.20,1750
171.10,1768
173.08,1770
175.05,1770
177.03,1772
179.00,1756
181.00,1748
182.98,1716
184.95,1686
186.93,1648
188.90,1612
190.90,1562
192.88,1536
194.85,1510
196.83,1510
198.80,1494
200.80,1488
202.78,1510
204.75,1514
206.73,1518
208.70,1536
210.70,1554
212.68,1580
214.65,1582
216.63,1596
218.60,1584
220.60,1580
222.58,1598
224.55,1632
226.53,1654
228.50,1654
230.50,1668
232.48,1646
234.45,1616
236.43,1598
238.40,1602
240.30,1598
242.30,1602
244.30,1606
246.30,1604
248.30,1608
250.20,1596
252.18,1584
254.15,1582
256.13,1584
258.10,1566
260.10,1542
262.08,1556
264.05,1542
266.03,1558
268.00,1546
270.00,1522
271.98,1518
273.95,1536
275.93,1530
277.90,1532
279.90,1562
281.88,1572
283.85,1568
285.83,1568
287.80,1572
289.80,1578
291.78,1598
293.75,1596
295.73,1590
297.70,1596
299.70,1594
301.68,1622
303.65,1636
305.63,1638
307.60,1652
309.50,1654
311.48,1650
313.45,1644
315.43,1640
317.40,1622
319.40,1616
321.38,1600
323.35,1582
325.33,1578
327.30,1574
329.30,1578
331.28,1562
333.25,1552
335.23,1536
337.20,1534
339.20,1534
341.18,1526
343.15,1524
345.13,1522
347.10,1508
349.10,1502
351.08,1504
353.05,1478
355.03,1462
357.00,1468
359.00,1486
360.98,1500
362.95,1498
364.93,1492
366.90,1500
368.90,1528
370.88,1546
372.85,1540
374.83,1536
376.80,1534
378.70,1530
380.70,1552
382.70,1536
384.70,1526
386.70,1544
388.60,1550
390.58,1568
392.55,1590
394.53,1644
396.50,1694
398.50,1684
400.48,1676
402.45,1662
404.43,1630
406.40,1586
408.40,1538
410.38,1506
412.35,1486
414.33,1466
416.30,1434
418.30,1448
420.28,1440
422.25,1406
424.23,1380
426.20,1368
428.20,1364
430.18,1390
432.15,1406
434.13,1424
436.10,1438
438.10,1430
440.08,1446
442.05,1444
444.03,1452
446.00,1450
447.90,1484
449.88,1556
451.85,1626
453.83,1690
455.80,1736
457.80,1750
459.78,1776
461.75,1812
463.73,1850
465.70,1874
467.70,1914
469.68,1952
471.65,1986
473.63,1986
475.60,1988
477.60,1978
479.58,1944
481.55,1910
483.53,1830
485.50,1724
487.50,1624
489.48,1540
491.45,1446
493.43,1366
495.40,1246
497.40,1168
499.38,1114
501.35,1100
503.33,1098
505.30,1100
507.30,1140
509.28,1194
511.25,1246
513.23,1310
515.20,1428
517.10,1512
519.08,1624
521.05,1690
523.03,1756
525.00,1836
527.00,1910
528.98,1952
530.95,1976
532.93,1968
534.90,1932
536.90,1906
538.88,1872
540.85,1790
542.83,1732
544.80,1658
546.80,1564
548.78,1502
550.75,1450
552.73,1412
554.70,1400
556.70,1370
558.68,1344
560.65,1388
562.63,1392
564.60,1382
566.60,1388
568.58,1410
570.55,1438
572.53,1464
574.50,1496
576.50,1526
578.48,1572
580.45,1604
582.43,1642
584.40,1664
586.30,1664
588.28,1686
590.25,1700
592.23,1700
594.20,1694
596.20,1706
598.18,1658
600.15,1582
602.13,1562
604.10,1540
606.10,1506
608.08,1492
610.05,1482
612.03,1474
614.00,1478
616.00,1454
617.98,1452
619.95,1476
621.93,1500
623.90,1494
625.90,1498
627.88,1492
629.85,1490
631.83,1492
633.80,1498
635.80,1528
637.78,1534
639.75,1578
641.73,1570
643.70,1558
645.70,1576
647.68,1596
649.65,1594
651.63,1634
653.60,1678
655.50,1714
657.48,1742
659.45,1754
661.43,1778
663.40,1816
665.40,1814
667.38,1788
669.35,1766
671.33,1760
673.30,1768
675.30,1760
677.28,1752
679.25,1728
681.23,1686
683.20,1642
685.20,1632
687.18,1598
689.15,1558
691.13,1532
693.10,1504
695.10,1516
697.08,1520
699.05,1502
701.03,1530
703.00,1584
705.00,1600
706.98,1612
708.95,1640
710.93,1650
712.90,1674
714.90,1726
716.88,1788
718.85,1824
720.83,1820
722.80,1830
724.70,1850
726.68,1850
728.65,1830
730.63,1816
732.60,1790
734.60,1782
736.58,1768
738.55,1756
740.53,1700
742.50,1666
744.50,1636
746.48,1602
748.45,1610
750.43,1598
752.40,1600
754.40,1572
756.38,1558
758.35,1582
760.33,1608
762.30,1614
764.30,1646
766.28,1638
768.25,1630
770.23,1636
772.20,1660
774.20,1674
776.18,1666
778.15,1644
780.13,1622
782.10,1616
784.10,1606
786.08,1584
788.05,1580
790.03,1572
792.00,1568
793.90,1564
795.88,1532
797.85,1528
799.83,1510
801.80,1530
803.80,1540
805.78,1546
807.75,1512
809.73,1490
811.70,1480
813.70,1492
815.68,1496
