t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.9,164.53,84.155,-184.8,-71.719
13.8,164.53,84.155,-184.8,-71.719
23.7,177.53,88.155,-189.8,-72.719
33.6,177.53,88.155,-189.8,-72.719
43.5,195.53,92.155,-177.8,-68.719
53.4,195.53,92.155,-177.8,-68.719
63.2,211.53,95.155,-159.8,-60.719
73.1,211.53,95.155,-159.8,-60.719
83.0,227.53,98.155,-148.8,-56.719
92.9,227.53,98.155,-137.8,-52.719
102.8,239.53,101.15,-129.8,-50.719
112.7,239.53,101.15,-123.8,-48.719
122.6,247.53,105.15,-120.8,-47.719
132.4,247.53,105.15,-119.8,-49.719
142.3,247.53,105.15,-120.8,-50.719
152.2,247.53,105.15,-123.8,-52.719
162.1,243.53,104.15,-126.8,-53.719
172.0,243.53,104.15,-132.8,-55.719
181.9,242.53,104.15,-136.8,-60.719
191.8,240.53,103.15,-145.8,-62.719
201.6,237.53,103.15,-152.8,-65.719
211.5,236.53,104.15,-156.8,-66.719
221.4,235.53,102.15,-162.8,-69.719
231.3,235.53,103.15,-168.8,-70.719
241.2,235.53,102.15,-170.8,-71.719
251.1,236.53,102.15,-173.8,-71.719
261.0,238.53,102.15,-172.8,-70.719
270.8,238.53,101.15,-169.8,-68.719
280.7,239.53,101.15,-169.8,-67.719
290.6,240.53,100.15,-165.8,-66.719
300.5,237.53,99.155,-163.8,-65.719
310.4,235.53,99.155,-162.8,-65.719
320.3,236.53,97.155,-161.8,-65.719
330.2,235.53,97.155,-160.8,-64.719
340.0,230.53,95.155,-160.8,-64.719
349.9,226.53,94.155,-159.8,-66.719
359.8,225.53,92.155,-160.8,-67.719
369.7,219.53,92.155,-162.8,-67.719
379.6,217.53,91.155,-164.8,-68.719
389.5,212.53,90.155,-166.8,-68.719
399.4,207.53,87.155,-165.8,-68.719
409.2,204.53,86.155,-165.8,-67.719
419.1,199.53,84.155,-167.8,-68.719
429.0,197.53,83.155,-170.8,-69.719
438.9,192.53,82.155,-172.8,-70.719
448.8,190.53,82.155,-174.8,-70.719
458.7,189.53,80.155,-177.8,-72.719
468.6,185.53,79.155,-181.8,-73.719
478.4,181.53,77.155,-183.8,-73.719
488.3,177.53,76.155,-184.8,-74.719
498.2,175.53,75.155,-185.8,-74.719
508.1,171.53,74.155,-187.8,-75.719
518.0,169.53,73.155,-188.8,-74.719
527.9,166.53,72.155,-189.8,-74.719
537.8,167.53,74.155,-189.8,-73.719
547.6,164.53,73.155,-191.8,-75.719
557.5,164.53,74.155,-194.8,-78.719
567.4,167.53,76.155,-197.8,-79.719
577.3,173.53,77.155,-199.8,-78.719
587.2,179.53,78.155,-197.8,-78.719
597.1,184.53,78.155,-193.8,-76.719
607.0,190.53,80.155,-183.8,-72.719
616.8,198.53,80.155,-176.8,-69.719
626.7,205.53,80.155,-165.8,-65.719
636.6,208.53,80.155,-156.8,-62.719
