t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
2.4,127.1,45.846,8.8679,25.268
12.3,130.1,47.846,11.868,27.268
22.2,130.1,46.846,16.868,27.268
32.1,131.1,47.846,19.868,29.268
42.0,129.1,45.846,24.868,28.268
51.9,131.1,45.846,25.868,29.268
61.8,130.1,45.846,26.868,30.268
71.6,130.1,43.846,31.868,33.268
81.5,125.1,41.846,34.868,33.268
91.4,122.1,40.846,35.868,34.268
101.3,120.1,37.846,36.868,36.268
111.2,116.1,36.846,37.868,36.268
121.1,124.1,39.846,35.868,35.268
131.0,114.1,35.846,33.868,34.268
140.8,115.1,37.846,31.868,34.268
150.7,115.1,37.846,29.868,33.268
160.6,113.1,35.846,27.868,33.268
170.5,113.1,35.846,24.868,31.268
180.4,110.1,34.846,20.868,30.268
190.3,110.1,34.846,20.868,30.268
200.2,108.1,34.846,20.868,30.268
210.0,108.1,34.846,19.868,29.268
219.9,105.1,33.846,18.868,29.268
229.8,105.1,33.846,16.868,28.268
239.7,104.1,32.846,17.868,28.268
249.6,104.1,32.846,14.868,26.268
259.5,100.1,29.846,15.868,28.268
269.4,100.1,29.846,14.868,27.268
279.2,94.105,26.846,14.868,28.268
289.1,94.105,26.846,15.868,28.268
299.0,93.105,26.846,13.868,27.268
308.9,93.105,26.846,13.868,28.268
318.8,88.105,23.846,12.868,27.268
328.7,88.105,23.846,12.868,28.268
338.6,83.105,22.846,11.868,28.268
348.4,83.105,20.846,9.8679,27.268
358.3,81.105,20.846,9.8679,25.268
368.2,77.105,19.846,6.8679,27.268
378.1,76.105,18.846,5.8679,25.268
388.0,71.105,15.846,4.8679,25.268
397.9,69.105,13.846,2.8679,24.268
407.8,63.105,12.846,2.8679,26.268
417.6,59.105,9.8457,3.8679,25.268
427.5,55.105,8.8457,0.86792,26.268
437.4,48.105,4.8457,-0.13208,24.268
447.3,45.105,1.8457,-2.1321,24.268
457.2,46.105,4.8457,-4.1321,23.268
467.1,43.105,1.8457,-7.1321,23.268
477.0,47.105,4.8457,-9.1321,22.268
486.8,45.105,5.8457,-12.132,22.268
496.7,42.105,5.8457,-12.132,21.268
506.6,46.105,8.8457,-11.132,20.268
516.5,48.105,9.8457,-9.1321,22.268
526.4,51.105,9.8457,-6.1321,22.268
