t,lead_I,lead_II,v3,v4
1.1,-26295,15338,-55019,-52482
3.1,-25797,15658,-54848,-52442
5.1,-25384,15656,-54426,-52132
7.1,-25573,15473,-54007,-51760
9.1,-26372,15416,-53907,-51631
11.1,-27008,15365,-53849,-51589
13.1,-27143,15033,-53640,-51492
15.1,-27062,14669,-53507,-51445
17.1,-26818,14757,-53599,-51499
19.1,-26298,15186,-53809,-51616
21.1,-25634,15518,-53928,-51699
23.1,-25056,15725,-53743,-51554
25.1,-24675,16031,-53314,-51187
27.1,-24441,16351,-53083,-51008
29.1,-24478,16253,-53303,-51268
31.1,-25272,15509,-53572,-51549
33.1,-26657,14661,-53388,-51366
35.1,-27366,14503,-52963,-50973
37.1,-26875,14926,-52907,-50945
39.1,-26224,15215,-53240,-51228
41.1,-26002,15366,-53376,-51280
43.1,-25760,15756,-53054,-50960
45.1,-25705,15994,-52646,-50623
47.1,-26324,15612,-52578,-50575
49.1,-26969,15031,-52881,-50835
51.1,-27061,14711,-53188,-51130
53.1,-27101,14483,-53090,-51088
55.1,-27170,14389,-52706,-50773
57.1,-26671,14808,-52571,-50665
59.1,-25857,15569,-52754,-50837
61.1,-25412,16106,-52767,-50854
63.1,-25241,16269,-52502,-50631
65.1,-25155,16203,-52349,-50529
67.1,-25397,15981,-52420,-50619
69.1,-25854,15701,-52461,-50655
71.1,-26175,15446,-52367,-50564
73.1,-26368,15199,-52227,-50452
75.1,-26387,15068,-52140,-50407
77.1,-26100,15212,-52161,-50460
79.1,-25840,15492,-52206,-50499
81.1,-25837,15701,-52090,-50339
83.1,-25705,15896,-51787,-50022
85.1,-25403,16085,-51471,-49779
87.1,-25461,16074,-51296,-49712
89.1,-25826,15928,-51257,-49701
91.1,-25976,15957,-51170,-49576
93.1,-26008,16117,-50911,-49347
95.1,-26173,16093,-50697,-49246
97.1,-26021,15986,-50782,-49392
99.1,-25253,16236,-50951,-49539
101.1,-24475,16858,-50832,-49428
103.1,-24284,17327,-50461,-49126
105.1,-24555,17247,-50120,-48844
107.1,-24982,16775,-49963,-48721
109.1,-25472,16344,-49976,-48771
111.1,-25897,16163,-49992,-48794
113.1,-26089,16130,-49829,-48612
115.1,-26015,16160,-49581,-48404
117.1,-25703,16345,-49453,-48384
119.1,-25205,16653,-49403,-48406
121.1,-24736,16789,-49308,-48326
123.1,-24564,16640,-49218,-48272
125.1,-24721,16506,-49154,-48273
127.1,-25066,16600,-49026,-48173
129.1,-25540,16668,-48865,-48002
131.1,-26065,16457,-48773,-47917
133.1,-26372,16214,-48720,-47891
135.1,-26299,16312,-48642,-47815
137.1,-25994,16677,-48566,-47710
139.1,-25592,17000,-48533,-47650
141.1,-25141,17268,-48504,-47600
143.1,-24862,17589,-48425,-47492
145.1,-24888,17769,-48386,-47417
147.1,-24963,17589,-48546,-47544
149.1,-24967,17252,-48799,-47773
151.1,-25117,17107,-48868,-47829
153.1,-25297,17165,-48807,-47767
155.1,-25137,17241,-48881,-47831
157.1,-24818,17284,-49035,-47922
159.1,-24723,17379,-49076,-47811
161.1,-24611,17602,-49093,-47622
163.1,-24222,17862,-49154,-47565
165.1,-24059,17870,-49148,-47616
167.1,-24586,17521,-49197,-47759
169.1,-25367,17205,-49487,-47994
171.1,-25692,17271,-49794,-48140
173.1,-25512,17485,-49880,-48111
175.1,-25324,17487,-49936,-48092
177.1,-25400,17350,-50122,-48176
179.1,-25431,17292,-50321,-48292
181.1,-25121,17275,-50541,-48480
183.1,-24809,17174,-50832,-48726
185.1,-24908,17033,-50999,-48833
187.1,-25124,17003,-50981,-48801
189.1,-25087,17083,-51050,-48874
191.1,-25138,17025,-51302,-49069
193.1,-25533,16722,-51538,-49196
195.1,-25747,16535,-51697,-49252
197.1,-25458,16753,-51848,-49345
199.1,-25182,17049,-51934,-49448
201.1,-25262,17045,-51920,-49519
203.1,-25361,16906,-51921,-49600
205.1,-25377,16833,-52010,-49708
207.1,-25658,16675,-52139,-49812
209.1,-26101,16427,-52260,-49896
211.1,-26187,16314,-52391,-49998
213.1,-25964,16267,-52568,-50171
215.1,-25948,16068,-52736,-50365
217.1,-26159,15836,-52793,-50457
219.1,-26213,15755,-52789,-50469
221.1,-26049,15760,-52825,-50489
223.1,-25815,15871,-52820,-50469
225.1,-25557,16186,-52728,-50394
227.1,-25492,16442,-52722,-50395
229.1,-25791,16345,-52808,-50422
231.1,-26035,16161,-52740,-50274
233.1,-25857,16232,-52540,-50053
235.1,-25637,16371,-52486,-50026
237.1,-25658,16384,-52589,-50149
239.1,-25581,16462,-52674,-50248
241.1,-25378,16597,-52760,-50349
243.1,-25451,16474,-52899,-50477
245.1,-25685,16153,-52994,-50546
247.1,-25793,15950,-53001,-50545
249.1,-26049,15807,-52984,-50532
251.1,-26480,15643,-52979,-50522
253.1,-26501,15768,-52988,-50535
255.1,-26129,16162,-52991,-50567
257.1,-26044,16256,-52959,-50565
259.1,-26214,15984,-52934,-50546
261.1,-26069,15943,-52950,-50554
263.1,-25766,16264,-52908,-50504
265.1,-25791,16497,-52777,-50346
267.1,-25935,16517,-52736,-50242
269.1,-25856,16433,-52885,-50340
271.1,-25861,16096,-53054,-50524
273.1,-26193,15601,-53063,-50591
275.1,-26397,15489,-52974,-50540
277.1,-26098,15858,-52963,-50552
279.1,-25622,16220,-53036,-50665
281.1,-25384,16404,-53018,-50678
283.1,-25375,16570,-52884,-50537
285.1,-25496,16592,-52841,-50456
287.1,-25732,16346,-52917,-50480
289.1,-25934,16143,-52916,-50438
291.1,-26019,16141,-52875,-50399
293.1,-26106,16046,-52976,-50543
295.1,-26099,15836,-53098,-50701
297.1,-25755,15917,-53061,-50669
299.1,-25327,16311,-52994,-50590
301.1,-25257,16589,-52960,-50554
303.1,-25363,16647,-52807,-50422
305.1,-25286,16706,-52651,-50300
307.1,-25252,16732,-52772,-50425
309.1,-25506,16612,-53023,-50625
311.1,-25788,16507,-53065,-50588
313.1,-25934,16504,-52931,-50415
315.1,-26033,16481,-52819,-50346
317.1,-25925,16566,-52718,-50336
319.1,-25598,16899,-52580,-50256
321.1,-25609,17038,-52496,-50173
323.1,-26135,16588,-52556,-50229
325.1,-26474,16062,-52710,-50390
327.1,-26282,16089,-52789,-50461
329.1,-26143,16367,-52707,-50379
331.1,-26357,16393,-52610,-50314
333.1,-26409,16465,-52579,-50308
335.1,-26042,16998,-52431,-50147
337.1,-25672,17625,-52144,-49848
339.1,-25550,17819,-52033,-49749
341.1,-25458,17723,-52166,-49893
343.1,-25317,17749,-52235,-49970
345.1,-25345,17867,-52144,-49900
347.1,-25618,17804,-52116,-49869
349.1,-25912,17582,-52228,-49920
351.1,-25961,17508,-52356,-49963
353.1,-25721,17684,-52416,-49972
355.1,-25476,17816,-52371,-49935
357.1,-25504,17714,-52258,-49861
359.1,-25570,17672,-52213,-49837
361.1,-25280,17934,-52302,-49910
363.1,-24848,18172,-52429,-49992
365.1,-24707,18104,-52466,-49962
367.1,-24738,17963,-52401,-49844
369.1,-24798,17798,-52404,-49859
371.1,-25215,17292,-52599,-50114
373.1,-25846,16645,-52777,-50331
375.1,-25965,16439,-52741,-50300
377.1,-25699,16525,-52730,-50297
379.1,-25844,16344,-52962,-50550
381.1,-26129,16030,-53235,-50851
383.1,-25728,15965,-53451,-51100
385.1,-25109,15919,-53764,-51423
387.1,-25265,15638,-54005,-51645
389.1,-25935,15379,-53919,-51574
391.1,-26316,15285,-53783,-51490
393.1,-26407,15178,-53871,-51574
395.1,-26501,15104,-53923,-51551
397.1,-26557,15193,-53791,-51380
399.1,-26565,15235,-53765,-51384
401.1,-26617,15056,-53941,-51580
403.1,-26677,14840,-54087,-51697
405.1,-26714,14743,-54113,-51698
407.1,-26676,14748,-54104,-51696
409.1,-26460,14871,-54088,-51689
411.1,-26292,15002,-54057,-51647
413.1,-26488,14885,-54042,-51612
415.1,-26682,14645,-54097,-51646
417.1,-26364,14706,-54230,-51759
419.1,-25890,15022,-54302,-51833
421.1,-25741,15204,-54183,-51761
423.1,-25637,15283,-54010,-51656
425.1,-25483,15389,-53993,-51682
427.1,-25795,15260,-54096,-51779
429.1,-26321,14942,-54149,-51791
431.1,-26135,15042,-54074,-51671
433.1,-25519,15543,-53921,-51503
435.1,-25608,15675,-53839,-51435
437.1,-26250,15303,-53913,-51514
439.1,-26377,15066,-54007,-51621
441.1,-25967,15189,-53982,-51658
443.1,-25766,15359,-53914,-51656
445.1,-25877,15388,-53899,-51635
447.1,-25956,15260,-53940,-51614
449.1,-25915,15063,-54053,-51674
451.1,-25858,14940,-54224,-51837
453.1,-25948,14773,-54363,-52039
455.1,-26237,14433,-54419,-52184
457.1,-26347,14318,-54320,-52060
459.1,-25984,14696,-53993,-51502
461.1,-25579,15042,-53513,-50664
463.1,-25558,15056,-52852,-49666
465.1,-25545,15273,-51708,-48288
467.1,-25111,15932,-50180,-46539
469.1,-24488,16590,-48983,-44885
471.1,-23980,17224,-48486,-43530
473.1,-23586,18186,-48483,-42398
475.1,-23406,19168,-49110,-41829
477.1,-23574,19670,-50724,-42231
479.1,-23879,19966,-52953,-43310
481.1,-24123,20427,-55180,-44631
483.1,-24491,20737,-57500,-46334
485.1,-25116,20699,-60113,-48602
487.1,-25861,20699,-62610,-51234
489.1,-26739,20672,-64654,-54126
491.1,-27886,19921,-66461,-57298
493.1,-29043,18398,-68092,-60323
495.1,-29699,16902,-69180,-62492
497.1,-29711,15793,-69533,-63546
499.1,-29460,14785,-69291,-63722
501.1,-29449,13953,-68489,-63224
503.1,-29712,13745,-67108,-62153
505.1,-29601,14095,-65488,-60845
507.1,-28656,14477,-64107,-59753
509.1,-27548,14670,-62952,-58869
511.1,-27230,14868,-61635,-57783
513.08,-27451,15201,-60157,-56481
515.05,-27351,15540,-58926,-55431
517.03,-26968,15677,-58050,-54793
519.0,-26867,15581,-57300,-54276
521.0,-26967,15438,-56624,-53770
523.0,-26858,15395,-56080,-53374
525.0,-26601,15346,-55586,-53047
527.0,-26505,15110,-55146,-52753
529.0,-26658,14736,-54879,-52591
531.0,-26886,14497,-54690,-52496
533.0,-26873,14587,-54429,-52312
535.0,-26499,14884,-54210,-52117
537.0,-26088,15131,-54115,-52025
539.0,-25935,15313,-53968,-51902
541.0,-25894,15552,-53715,-51673
543.0,-25818,15687,-53568,-51546
545.0,-25914,15425,-53620,-51661
547.0,-26295,14889,-53702,-51809
549.0,-26668,14503,-53652,-51727
551.0,-26679,14458,-53503,-51480
553.0,-26373,14648,-53418,-51341
555.0,-26139,14910,-53450,-51374
557.0,-26180,15076,-53463,-51409
559.0,-26196,15093,-53383,-51372
561.0,-25910,15137,-53292,-51323
563.0,-25606,15270,-53217,-51257
565.0,-25617,15299,-53119,-51177
567.0,-25721,15242,-53037,-51144
569.0,-25631,15358,-52985,-51092
571.0,-25560,15578,-52899,-50941
573.0,-25715,15607,-52835,-50840
575.0,-25861,15512,-52855,-50897
577.0,-25823,15507,-52838,-50939
579.0,-25742,15516,-52741,-50886
581.0,-25619,15473,-52732,-50911
583.0,-25369,15469,-52829,-51034
585.0,-25272,15441,-52846,-51059
587.0,-25554,15376,-52729,-50922
589.0,-25850,15494,-52585,-50743
591.0,-25852,15668,-52516,-50672
593.0,-25880,15454,-52582,-50779
595.0,-26152,15039,-52676,-50902
597.0,-26346,15060,-52571,-50797
599.0,-26314,15446,-52328,-50575
601.0,-26310,15583,-52248,-50542
603.0,-26357,15436,-52305,-50633
605.0,-26243,15452,-52236,-50594
607.0,-26044,15682,-52083,-50480
609.0,-25969,15816,-52024,-50432
611.0,-25964,15756,-51970,-50346
613.0,-25878,15638,-51835,-50189
615.0,-25735,15525,-51750,-50132
617.0,-25655,15407,-51744,-50188
619.0,-25648,15355,-51662,-50177
621.0,-25635,15494,-51435,-50031
623.0,-25626,15798,-51138,-49816
625.0,-25774,16045,-50861,-49596
627.0,-26066,16064,-50674,-49433
629.0,-26163,15971,-50584,-49363
631.0,-25840,16013,-50506,-49312
633.0,-25350,16237,-50359,-49183
635.0,-25072,16466,-50137,-48983
637.0,-25024,16557,-49916,-48821
639.0,-24990,16537,-49801,-48777
641.0,-24901,16508,-49759,-48786
643.0,-24871,16575,-49626,-48710
645.0,-24980,16757,-49397,-48541
647.0,-25182,16891,-49237,-48390
649.0,-25343,16823,-49162,-48287
651.0,-25326,16696,-49045,-48174
653.0,-25138,16715,-48899,-48051
655.0,-24978,16723,-48843,-47993
657.0,-24986,16517,-48868,-48021
659.0,-25069,16348,-48854,-48049
661.0,-25095,16546,-48739,-47982
663.0,-25070,16921,-48615,-47877
665.0,-25072,17060,-48623,-47875
667.0,-25170,16922,-48737,-47948
669.0,-25360,16775,-48786,-47943
671.0,-25469,16818,-48730,-47852
673.0,-25325,17021,-48688,-47790
675.0,-25050,17182,-48717,-47797
677.0,-24918,17144,-48793,-47861
679.0,-24972,16999,-48883,-47945
681.0,-25031,16950,-48920,-47943
683.0,-24990,17068,-48892,-47838
685.0,-24893,17291,-48917,-47799
687.0,-24785,17473,-49061,-47906
689.0,-24682,17432,-49257,-48059
691.0,-24691,17189,-49460,-48201
693.0,-24898,17037,-49638,-48304
695.0,-25083,17160,-49725,-48285
697.0,-24948,17384,-49770,-48205
699.0,-24675,17462,-49906,-48246
701.0,-24669,17357,-50107,-48405
703.0,-24812,17225,-50291,-48552
705.0,-24744,17227,-50478,-48674
707.0,-24630,17316,-50644,-48765
709.0,-24821,17300,-50729,-48778
711.0,-25146,17154,-50830,-48797
713.0,-25278,17034,-51006,-48907
715.0,-25230,17012,-51134,-49031
717.0,-25111,17102,-51210,-49131
719.0,-24999,17298,-51366,-49264
721.0,-25119,17377,-51533,-49370
723.0,-25479,17139,-51575,-49371
725.0,-25647,16873,-51601,-49389
727.0,-25430,16891,-51750,-49545
729.0,-25239,16928,-51958,-49763
731.0,-25301,16726,-52129,-49908
733.0,-25331,16534,-52240,-49939
735.0,-25341,16440,-52307,-49936
737.0,-25792,16179,-52388,-50001
739.0,-26564,15897,-52455,-50079
741.0,-26848,15957,-52448,-50090
743.0,-26424,16062,-52542,-50205
745.0,-25994,15759,-52891,-50535
747.0,-25957,15387,-53190,-50765
749.0,-25918,15450,-53149,-50683
751.0,-25662,15709,-53005,-50573
753.0,-25561,15755,-52999,-50625
755.0,-25749,15739,-52962,-50629
