t,lead_I,lead_II,v3,v4
1.1,-6253,3078,68230,60521
3.1,-5617,3035,67737,60042
5.1,-4975,3072,67824,60114
7.1,-4298,3109,67811,60097
9.1,-4038,3045,67304,59624
11.1,-4297,3014,67087,59433
13.13,-4856,3058,67513,59836
15.15,-5617,3007,67888,60163
17.18,-6327,2879,67869,60104
19.2,-6555,2878,67848,60075
21.2,-6310,2951,67967,60205
23.2,-5934,2868,67937,60167
25.2,-5412,2711,67682,59884
27.2,-4698,2735,67373,59588
29.2,-4315,2883,67157,59429
31.2,-4590,2951,67181,59482
33.2,-5033,2982,67475,59749
35.2,-5331,3041,67752,59996
37.2,-5833,2983,67799,60041
39.2,-6461,2798,67820,60050
41.2,-6486,2713,67956,60158
43.2,-5729,2812,67988,60181
45.2,-4809,2960,67811,60009
47.2,-4305,3046,67570,59767
49.2,-4391,3026,67353,59565
51.2,-4804,2963,67273,59537
53.2,-5090,3035,67495,59798
55.2,-5323,3180,67827,60133
57.2,-5902,3095,67914,60218
59.2,-6449,2845,67842,60130
61.2,-6220,2830,67860,60080
63.2,-5419,3061,67862,60004
65.2,-4724,3181,67701,59828
67.2,-4251,3113,67489,59644
69.2,-4054,3020,67321,59505
71.2,-4403,2930,67260,59484
73.2,-5054,2866,67415,59691
75.2,-5505,2947,67685,59981
77.2,-5741,3122,67798,60083
79.2,-5844,3163,67706,59993
81.2,-5697,2962,67546,59848
83.2,-5452,2652,67419,59717
85.2,-5281,2484,67389,59679
87.2,-5016,2563,67389,59700
89.2,-4761,2707,67275,59633
91.2,-4849,2749,67204,59588
93.2,-5077,2795,67406,59770
95.2,-5265,2870,67637,59955
97.2,-5852,2719,67600,59883
99.2,-6704,2389,67516,59771
101.2,-6763,2382,67566,59785
103.2,-5857,2806,67527,59724
105.2,-5070,3116,67371,59589
107.2,-4880,3031,67292,59566
109.2,-4791,2892,67209,59547
111.2,-4720,2919,67090,59471
113.2,-5021,2896,67206,59584
115.2,-5508,2741,67491,59824
117.2,-5732,2673,67525,59811
119.2,-5722,2769,67332,59606
121.3,-5701,2857,67275,59570
123.3,-5604,2824,67360,59680
125.3,-5301,2731,67385,59705
127.3,-4895,2711,67331,59627
129.3,-4648,2823,67228,59516
131.3,-4770,2936,67157,59468
133.3,-5164,2919,67334,59667
135.3,-5458,2921,67737,60053
137.3,-5534,3114,67972,60242
139.3,-5693,3305,67881,60125
141.3,-5936,3312,67823,60080
143.3,-5729,3380,68006,60280
145.3,-5018,3677,68095,60339
147.3,-4570,3885,67876,60055
149.3,-4756,3786,67723,59864
151.3,-5021,3643,67882,60037
153.3,-5010,3663,67999,60184
155.3,-5101,3722,67897,60102
157.3,-5514,3720,67943,60160
159.3,-5880,3715,68207,60434
161.3,-5822,3767,68300,60524
163.3,-5354,3916,68168,60388
165.3,-4773,4121,68062,60301
167.3,-4380,4223,67989,60247
169.3,-4199,4207,67914,60151
171.3,-4179,4217,67975,60157
173.3,-4541,4233,68136,60269
175.3,-5296,4157,68241,60349
177.3,-5836,4145,68325,60429
179.3,-5811,4320,68429,60559
181.3,-5635,4439,68474,60664
183.3,-5491,4334,68455,60708
