t,lead_I,lead_II,v3,v4
1.5,-10805,4896,2736,5031
3.5,-11338,5254,4315,6859
5.5,-11632,5569,5268,7949
7.5,-12042,5977,5886,8874
9.5,-12027,6563,5710,9042
11.5,-11105,7240,4483,7862
13.5,-10184,7556,3358,6558
15.5,-10068,7275,2933,5986
17.5,-10188,6720,2465,5365
19.5,-10127,6186,2077,4719
21.5,-10414,5711,2699,5166
23.5,-11114,5445,4040,6596
25.5,-11598,5531,5176,8003
27.5,-11722,5891,5788,8941
29.5,-11695,6404,5529,8974
31.5,-11418,6868,4303,7839
33.5,-10964,6995,3131,6491
35.5,-10673,6821,2693,5798
37.5,-10468,6590,2426,5329
39.5,-10207,6261,2276,4990
41.5,-10272,5828,2983,5576
43.5,-10820,5625,4253,6925
45.5,-11400,5736,5093,7993
47.5,-11814,5888,5339,8506
49.5,-12095,6131,5148,8565
51.5,-11854,6620,4375,7897
53.5,-11022,6926,3327,6726
55.5,-10448,6604,2620,5820
57.5,-10589,6005,2353,5419
59.5,-10803,5685,2424,5379
61.5,-10696,5611,2870,5756
63.5,-10751,5555,3552,6497
65.5,-11175,5637,4332,7418
67.5,-11517,6022,5115,8371
69.5,-11574,6510,5349,8832
71.5,-11562,6779,4586,8243
73.5,-11465,6790,3382,6983
75.5,-11095,6665,2564,5921
77.5,-10671,6380,2289,5398
79.5,-10625,5943,2493,5432
81.5,-10918,5634,3100,5985
83.5,-11098,5705,3758,6718
85.5,-11054,6021,4313,7396
87.5,-11133,6350,4897,8121
89.5,-11394,6687,5128,8553
91.5,-11370,7024,4470,8040
93.5,-10889,7112,3317,6803
95.5,-10437,6790,2516,5756
97.5,-10395,6308,2339,5373
99.5,-10578,6052,2687,5606
101.5,-10740,6069,3372,6233
103.5,-10884,6115,3966,6856
105.5,-11021,6103,4297,7313
107.5,-11105,6241,4676,7876
109.5,-11083,6671,5051,8431
111.5,-10883,7195,4846,8307
113.53,-10608,7447,3989,7364
115.55,-10529,7266,3122,6301
117.58,-10612,6854,2762,5745
