t,az
904.48,5052
906.45,5032
908.43,4958
910.40,4888
912.40,4798
914.38,4728
916.35,4634
918.33,4634
920.30,4618
922.30,4582
924.28,4552
926.25,4552
928.23,4468
930.20,4468
932.20,4430
934.18,4430
936.15,4378
938.13,4378
940.10,4328
942.10,4328
944.08,4308
946.05,4326
948.03,4374
950.00,4432
952.00,4508
953.98,4600
955.95,4658
957.93,4716
959.90,4780
961.80,4830
963.78,4870
965.75,4912
967.73,4908
969.70,4908
971.70,4904
973.68,4870
975.65,4860
977.63,4842
979.60,4824
981.60,4810
983.58,4806
985.55,4798
987.53,4792
989.50,4784
991.50,4762
993.48,4772
995.45,4764
997.43,4764
999.40,4774
1001.40,4764
1003.38,4718
1005.35,4736
1007.33,4744
1009.30,4756
1011.30,4742
1013.28,4738
1015.25,4710
1017.23,4698
1019.20,4692
1021.20,4674
1023.18,4660
1025.15,4664
1027.13,4658
1029.10,4688
1031.00,4708
1033.00,4708
1035.00,4694
1037.00,4678
1039.00,4658
1040.90,4634
1042.88,4572
1044.85,4492
1046.83,4448
1048.80,4406
1050.80,4374
1052.78,4356
1054.75,4364
1056.73,4348
1058.70,4352
1060.70,4362
1062.68,4388
1064.65,4386
1066.63,4408
1068.60,4420
1070.60,4464
1072.58,4544
1074.55,4668
1076.53,4814
1078.50,4956
1080.50,5124
1082.48,5246
1084.45,5310
1086.43,5294
1088.40,5182
1090.40,4972
1092.38,4740
1094.35,4526
1096.33,4424
1098.30,4434
1100.20,4492
1102.18,4486
1104.15,4402
1106.13,4164
1108.10,3798
1110.10,3444
1112.08,3128
1114.05,2822
1116.03,2770
1118.00,3162
1120.00,3924
1121.98,4780
1123.95,5470
1125.93,5850
1127.90,5974
1129.90,5862
1131.88,5558
1133.85,5174
1135.83,4722
1137.80,4348
1139.80,4090
1141.78,3898
1143.75,3756
1145.73,3652
1147.70,3544
1149.70,3470
1151.68,3470
1153.65,3514
1155.63,3646
1157.60,3852
1159.60,4078
1161.58,4316
1163.55,4542
1165.53,4744
1167.50,4924
1169.40,5042
1171.40,5086
1173.40,5072
1175.40,4980
1177.40,4856
1179.30,4718
1181.28,4588
1183.25,4478
1185.23,4408
1187.20,4408
1189.20,4402
1191.18,4434
1193.15,4622
1195.13,4622
1197.10,4796
1199.10,4796
1201.08,4950
1203.05,4950
1205.03,5032
1207.00,5032
1209.00,5074
1210.98,5064
1212.95,5036
1214.93,5006
1216.90,4984
1218.90,4942
1220.88,4896
1222.85,4858
1224.83,4824
1226.80,4786
1228.80,4754
1230.78,4742
1232.75,4718
1234.73,4700
1236.70,4670
1238.60,4664
1240.58,4634
1242.55,4648
1244.53,4652
1246.50,4664
1248.50,4672
1250.48,4702
1252.45,4700
1254.43,4710
1256.40,4720
1258.40,4700
1260.38,4704
1262.35,4722
1264.33,4750
1266.30,4776
1268.30,4810
1270.28,4860
1272.25,4944
1274.23,5024
1276.20,5098
1278.20,5138
1280.18,5142
1282.15,5156
1284.13,5118
1286.10,5052
1288.10,4994
1290.08,4910
1292.05,4856
1294.03,4808
1296.00,4760
1298.00,4730
1299.98,4682
1301.95,4628
1303.93,4566
1305.90,4496
1307.80,4426
1309.78,4384
1311.75,4326
1313.73,4290
1315.70,4266
1317.70,4258
1319.68,4260
1321.65,4282
1323.63,4294
1325.60,4316
1327.60,4374
1329.58,4422
1331.55,4486
1333.53,4534
1335.50,4540
1337.50,4536
1339.48,4544
1341.45,4544
1343.43,4550
1345.40,4556
1347.40,4584
1349.38,4568
1351.35,4554
1353.33,4570
1355.30,4554
1357.30,4540
1359.28,4534
1361.25,4518
1363.23,4540
1365.20,4566
1367.20,4584
1369.18,4590
1371.15,4616
1373.13,4622
1375.10,4640
1377.00,4658
1378.98,4672
1380.95,4672
1382.93,4680
1384.90,4634
1386.90,4602
1388.88,4576
1390.85,4550
1392.83,4516
1394.80,4502
1396.80,4488
1398.78,4428
1400.75,4406
1402.73,4414
1404.70,4422
1406.70,4396
1408.68,4388
1410.65,4400
1412.63,4402
1414.60,4398
1416.60,4384
1418.58,4406
1420.55,4422
1422.53,4376
1424.50,4300
1426.50,4226
1428.48,4162
1430.45,4120
1432.43,4068
1434.40,4062
1436.40,4044
1438.38,4018
1440.35,4018
1442.33,4016
1444.30,4040
1446.20,4084
1448.18,4128
1450.15,4192
1452.13,4290
1454.10,4566
1456.10,4566
1458.08,4748
1460.05,4922
1462.03,5132
1464.00,5132
1466.00,5008
1467.98,5008
1469.95,4564
1471.93,4564
1473.90,4290
1475.90,4294
1477.88,4340
1479.85,4354
1481.83,4284
1483.80,4096
1485.80,3852
1487.78,3692
1489.75,3578
1491.73,3488
1493.70,3554
1495.70,3872
1497.68,4420
1499.65,5002
1501.63,5482
1503.60,5740
1505.60,5738
1507.58,5572
1509.55,5274
1511.53,4904
1513.50,4572
1515.40,4298
1517.38,4108
1519.35,3994
1521.33,3968
1523.30,3970
1525.30,3966
1527.28,3936
1529.25,3920
1531.23,3948
1533.20,4056
1535.20,4172
1537.18,4312
1539.15,4438
1541.13,4544
1543.10,4678
1545.10,4774
1547.08,4826
1549.05,4840
1551.03,4778
1553.00,4692
1555.00,4596
1556.98,4468
1558.95,4350
1560.93,4254
1562.90,4220
1564.90,4238
1566.88,4258
1568.85,4290
1570.83,4332
1572.80,4376
1574.80,4440
1576.78,4508
1578.75,4600
1580.73,4686
1582.70,4744
1584.60,4792
1586.58,4832
1588.55,4826
1590.53,4818
1592.50,4812
1594.50,4740
1596.48,4670
1598.45,4620
1600.43,4598
1602.40,4544
1604.40,4476
1606.38,4472
1608.35,4450
1610.33,4414
1612.30,4394
1614.30,4400
1616.28,4404
1618.25,4402
1620.23,4414
1622.20,4430
1624.20,4456
1626.18,4484
1628.15,4508
1630.13,4546
1632.10,4548
1634.10,4564
1636.08,4568
1638.05,4584
1640.03,4594
1642.00,4604
1644.00,4618
1645.98,4658
1647.95,4662
1649.93,4710
1651.90,4770
1653.80,4790
1655.78,4810
1657.75,4822
1659.73,4856
1661.70,4832
1663.70,4798
1665.68,4774
1667.65,4720
1669.63,4646
1671.60,4596
1673.60,4556
1675.58,4516
1677.55,4518
1679.53,4490
1681.50,4416
1683.50,4360
1685.48,4284
1687.45,4224
1689.43,4162
1691.40,4132
1693.40,4114
1695.38,4096
1697.35,4106
1699.33,4154
1701.30,4210
1703.30,4236
1705.28,4276
1707.25,4316
1709.23,4330
1711.20,4352
1713.20,4358
1715.18,4350
1717.15,4350
1719.13,4330
1721.10,4342
1723.00,4374
1724.98,4374
1726.95,4438
1728.93,4438
1730.90,4442
1732.90,4442
1734.88,4446
1736.85,4446
1738.83,4452
1740.80,4468
1742.80,4472
1744.78,4460
1746.75,4460
1748.73,4474
1750.70,4462
1752.70,4434
1754.68,4430
1756.65,4440
1758.63,4432
1760.60,4436
1762.60,4442
1764.58,4444
1766.55,4448
1768.53,4444
1770.50,4440
1772.50,4430
1774.48,4416
1776.45,4382
1778.43,4392
1780.40,4390
1782.40,4406
1784.38,4398
1786.35,4400
1788.33,4412
1790.30,4412
1792.20,4444
1794.18,4450
1796.15,4442
1798.13,4400
1800.10,4382
1802.10,4364
1804.08,4366
1806.05,4350
1808.03,4326
1810.00,4306
1812.00,4284
1813.98,4256
1815.95,4226
1817.93,4218
1819.90,4208
1821.90,4184
1823.88,4170
1825.85,4186
1827.83,4216
1829.80,4264
1831.80,4348
1833.78,4466
1835.75,4586
1837.73,4724
1839.70,4852
1841.70,4910
1843.68,4888
1845.65,4786
1847.63,4632
1849.60,4472
1851.60,4316
1853.58,4220
1855.55,4190
