t,pcg
0.0,-55
1.0,-75
2.0,-93
3.0,-137
4.0,-153
5.0,-54
6.0,-2
7.0,-31
8.0,-29
9.0,-18
10.0,-13
11.0,-11
12.0,-8
13.0,-4
14.0,-6
15.0,-13
16.0,-10
17.0,2
18.0,-1
19.0,-17
20.0,-20
21.0,-12
22.0,-12
23.0,-17
24.0,-22
25.0,-21
26.0,-23
27.0,-27
28.0,-21
29.0,-16
30.0,-24
31.0,-23
32.0,-13
33.0,-19
34.0,-31
35.0,-24
36.0,-8
37.0,-4
38.0,-12
39.0,-17
40.0,-14
41.0,-11
42.0,-15
43.0,-26
44.0,-22
45.0,-5
46.0,5
47.0,9
48.0,12
49.0,23
50.0,33
51.0,37
52.0,39
53.0,42
54.0,39
55.0,32
56.0,32
57.0,35
58.0,34
59.0,28
60.0,19
61.0,18
62.0,23
63.0,23
64.0,12
65.0,7
66.0,7
67.0,7
68.0,14
69.0,18
70.0,10
71.0,3
72.0,8
73.0,18
74.0,18
75.0,9
76.0,7
77.0,9
78.0,1
79.0,-7
80.0,-4
81.0,4
82.0,0
83.0,-7
84.0,-7
85.0,-2
86.0,5
87.0,4
88.0,-3
89.0,-4
90.0,-2
91.0,-5
92.0,-8
93.0,-11
94.0,-16
95.0,-21
96.0,-29
97.0,-34
98.0,-30
99.0,-28
100.0,-35
101.0,-48
102.0,-46
103.0,-34
104.0,-38
105.0,-49
106.0,-43
107.0,-33
108.0,-24
109.0,-19
110.0,-19
111.0,-10
112.0,4
113.0,8
114.0,9
115.0,16
116.0,23
117.0,25
118.0,28
119.0,34
120.0,38
121.0,42
122.0,42
123.0,43
124.0,48
125.0,45
126.0,41
127.0,46
128.0,51
129.0,59
130.0,68
131.0,65
132.0,67
133.0,78
134.0,74
135.0,67
136.0,68
137.0,61
138.0,47
139.0,38
140.0,26
141.0,9
142.0,-3
143.0,-17
144.0,-26
145.0,-21
146.0,-24
147.0,-33
148.0,-29
149.0,-27
150.0,-28
151.0,-34
152.0,-44
153.0,-42
154.0,-31
155.0,-31
156.0,-36
157.0,-37
158.0,-48
159.0,-63
160.0,-69
161.0,-76
162.0,-83
163.0,-82
164.0,-77
165.0,-74
166.0,-73
167.0,-74
168.0,-81
169.0,-82
170.0,-67
171.0,-52
172.0,-47
173.0,-29
174.0,-3
175.0,9
176.0,13
177.0,8
178.0,-6
179.0,-23
180.0,-54
181.0,-106
182.0,-169
183.0,-242
184.0,-305
185.0,-346
186.0,-380
187.0,-385
188.0,-333
189.0,-263
190.0,-201
191.0,-126
192.0,-46
193.0,28
194.0,87
195.0,128
196.0,159
197.0,181
198.0,196
199.0,212
200.0,239
201.0,267
202.0,272
203.0,276
204.0,290
205.0,290
206.0,283
207.0,282
208.0,273
209.0,255
210.0,218
211.0,164
212.0,108
213.0,36
214.0,-33
215.0,-85
216.0,-143
217.0,-189
218.0,-209
219.0,-227
220.0,-241
221.0,-220
222.0,-196
223.0,-182
224.0,-144
225.0,-95
226.0,-66
227.0,-39
228.0,2
229.0,46
230.0,85
231.0,117
232.0,139
233.0,139
234.0,134
235.0,156
236.0,181
237.0,185
238.0,185
239.0,174
240.0,147
241.0,150
242.0,171
243.0,167
244.0,152
245.0,116
246.0,69
247.0,52
248.0,29
249.0,-20
250.0,-29
251.0,-21
252.0,-68
253.0,-98
254.0,-74
255.0,-57
256.0,-55
257.0,-40
258.0,-14
259.0,6
260.0,27
261.0,60
262.0,74
263.0,63
264.0,55
265.0,45
266.0,29
267.0,7
268.0,-27
269.0,-63
270.0,-89
271.0,-113
272.0,-145
273.0,-174
274.0,-192
275.0,-198
276.0,-207
277.0,-218
278.0,-207
279.0,-192
280.0,-187
281.0,-176
282.0,-156
283.0,-145
284.0,-126
285.0,-87
286.0,-66
287.0,-62
288.0,-39
289.0,-8
290.0,-1
291.0,-10
292.0,4
293.0,23
294.0,20
295.0,9
296.0,4
297.0,15
298.0,30
299.0,21
300.0,20
301.0,41
302.0,44
303.0,47
304.0,48
305.0,31
306.0,35
307.0,53
308.0,46
309.0,51
310.0,65
311.0,55
312.0,45
313.0,46
314.0,34
315.0,25
316.0,28
317.0,27
318.0,18
319.0,6
320.0,5
321.0,18
322.0,24
323.0,26
324.0,44
325.0,61
326.0,63
327.0,64
328.0,70
329.0,65
330.0,54
331.0,49
332.0,38
333.0,26
334.0,14
335.0,4
336.0,18
337.0,37
338.0,25
339.0,16
340.0,21
341.0,23
342.0,44
343.0,52
344.0,22
345.0,15
346.0,25
347.0,18
348.0,23
349.0,29
350.0,7
351.0,-9
352.0,7
353.0,14
354.0,-2
355.0,-4
356.0,16
357.0,18
358.0,0
359.0,-8
360.0,-1
361.0,11
362.0,22
363.0,25
364.0,28
365.0,29
366.0,19
367.0,18
368.0,33
369.0,37
370.0,15
371.0,-7
372.0,-10
373.0,-2
374.0,-8
375.0,-33
376.0,-49
377.0,-43
378.0,-42
379.0,-44
380.0,-26
381.0,-14
382.0,-18
383.0,-23
384.0,-23
385.0,-13
386.0,0
387.0,1
388.0,-5
389.0,-6
390.0,-14
391.0,-16
392.0,1
393.0,-2
394.0,-22
395.0,-24
396.0,-18
397.0,-15
398.0,-13
399.0,-12
400.0,-2
401.0,6
402.0,2
403.0,15
404.0,41
405.0,43
406.0,34
407.0,34
408.0,20
409.0,5
410.0,5
411.0,-4
412.0,-21
413.0,-22
414.0,-9
415.0,-13
416.0,-29
417.0,-38
418.0,-42
419.0,-37
420.0,-27
421.0,-32
422.0,-47
423.0,-50
424.0,-53
425.0,-68
426.0,-72
427.0,-75
428.0,-104
429.0,-135
430.0,-146
431.0,-123
432.0,-55
433.0,-7
434.0,10
435.0,57
436.0,126
437.0,166
438.0,167
439.0,138
440.0,103
441.0,76
442.0,48
443.0,20
444.0,-7
445.0,-33
446.0,-56
447.0,-76
448.0,-81
449.0,-69
450.0,-54
451.0,-43
452.0,-44
453.0,-32
454.0,-7
455.0,4
456.0,0
457.0,-11
458.0,-15
459.0,-9
460.0,-11
461.0,-12
462.0,-1
463.0,14
464.0,14
465.0,0
466.0,-4
467.0,18
468.0,41
469.0,42
470.0,49
471.0,74
472.0,90
473.0,87
474.0,73
475.0,63
476.0,60
477.0,43
478.0,18
479.0,7
480.0,1
481.0,-13
482.0,-28
483.0,-27
484.0,-17
485.0,-16
486.0,-19
487.0,-10
488.0,6
489.0,21
490.0,37
491.0,52
492.0,55
493.0,49
494.0,49
495.0,64
496.0,71
497.0,51
498.0,25
499.0,22
500.0,22
501.0,8
502.0,0
503.0,-3
504.0,-19
505.0,-29
506.0,-13
507.0,-2
508.0,-18
509.0,-37
510.0,-46
511.0,-51
512.0,-49
513.0,-42
514.0,-35
515.0,-37
516.0,-41
517.0,-25
518.0,-15
519.0,-21
520.0,-12
521.0,5
522.0,15
523.0,15
524.0,3
525.0,-9
526.0,-7
527.0,-16
528.0,-36
529.0,-31
530.0,-10
531.0,-17
532.0,-42
533.0,-46
534.0,-31
535.0,-22
536.0,-22
537.0,-22
538.0,-20
539.0,-9
540.0,3
541.0,0
542.0,-3
543.0,6
544.0,10
545.0,4
546.0,6
547.0,13
548.0,5
549.0,-18
550.0,-38
551.0,-46
552.0,-47
553.0,-31
554.0,-11
555.0,-20
556.0,-37
557.0,-27
558.0,-8
559.0,-11
560.0,-20
561.0,-17
562.0,-15
563.0,-16
564.0,-18
565.0,-12
566.0,6
567.0,6
568.0,-17
569.0,-21
570.0,-4
571.0,2
572.0,-11
573.0,-17
574.0,-8
575.0,5
576.0,13
577.0,11
578.0,8
579.0,15
580.0,21
581.0,32
582.0,48
583.0,56
584.0,45
585.0,31
586.0,37
587.0,48
588.0,35
589.0,22
590.0,35
591.0,34
592.0,13
593.0,16
594.0,34
595.0,30
596.0,14
597.0,7
598.0,8
599.0,10
600.0,2
601.0,-15
602.0,-13
603.0,11
604.0,21
605.0,6
606.0,-1
607.0,12
608.0,16
609.0,9
610.0,11
611.0,18
612.0,19
613.0,13
614.0,6
615.0,8
616.0,9
617.0,1
618.0,-3
619.0,-9
620.0,-14
621.0,-20
622.0,-19
623.0,-3
624.0,7
625.0,3
626.0,1
627.0,4
628.0,5
629.0,1
630.0,-4
631.0,-11
632.0,-19
633.0,-17
634.0,-17
635.0,-26
636.0,-28
637.0,-28
638.0,-29
639.0,-19
640.0,-5
641.0,-8
642.0,-20
643.0,-25
644.0,-26
645.0,-22
646.0,-17
647.0,-18
648.0,-26
649.0,-27
650.0,-27
651.0,-22
652.0,-6
653.0,-1
654.0,-11
655.0,-7
656.0,4
657.0,2
658.0,-6
659.0,-11
660.0,-6
661.0,1
662.0,3
663.0,5
664.0,1
665.0,-2
666.0,6
667.0,5
668.0,3
669.0,22
670.0,35
671.0,20
672.0,8
673.0,10
674.0,12
675.0,9
676.0,3
677.0,-6
678.0,-10
679.0,-10
680.0,-8
681.0,9
682.0,23
683.0,18
684.0,9
685.0,4
686.0,8
687.0,18
688.0,14
689.0,-2
690.0,-11
691.0,-18
692.0,-17
693.0,-13
694.0,-16
695.0,-20
696.0,-15
697.0,-4
698.0,1
699.0,-3
700.0,-3
701.0,-1
702.0,-4
703.0,-5
704.0,-7
705.0,-10
706.0,-13
707.0,-25
708.0,-38
709.0,-33
710.0,-24
711.0,-28
712.0,-36
713.0,-35
714.0,-21
715.0,-10
716.0,-13
717.0,-10
718.0,-9
719.0,-15
720.0,-6
721.0,7
722.0,14
723.0,18
724.0,13
725.0,6
726.0,10
727.0,20
728.0,19
729.0,15
730.0,19
731.01,21
732.02,21
733.03,25
734.04,29
735.05,29
736.06,29
737.07,31
738.08,41
739.09,47
740.1,41
741.1,29
742.1,20
743.1,20
744.1,30
745.1,44
746.1,45
747.1,33
748.1,30
749.1,33
750.1,31
751.1,22
752.1,15
753.1,19
754.1,16
755.1,-6
756.1,-17
757.1,-10
758.1,-7
759.1,-14
760.1,-30
761.1,-36
762.1,-19
763.1,-9
764.1,-25
765.1,-44
766.1,-48
767.1,-40
768.1,-37
769.1,-43
770.1,-47
771.1,-52
772.1,-57
773.1,-59
774.1,-59
775.1,-60
776.1,-56
777.1,-41
778.1,-31
779.1,-31
780.1,-30
781.1,-23
782.1,-24
783.1,-32
784.1,-30
785.1,-24
786.1,-24
787.1,-30
788.1,-30
789.1,-26
790.1,-11
791.1,21
792.1,44
793.1,51
794.1,61
795.1,69
796.1,79
797.1,106
798.1,135
799.1,160
800.1,183
801.1,191
802.1,170
803.1,139
804.1,115
805.1,84
806.1,42
807.1,-2
808.1,-37
809.1,-62
810.1,-92
811.1,-122
812.1,-149
813.1,-175
814.1,-161
815.1,-119
816.1,-103
817.1,-95
818.1,-72
819.1,-45
820.1,-6
821.1,21
822.1,20
823.1,20
824.1,48
825.1,81
826.1,90
827.1,83
828.1,54
829.1,-5
830.1,-75
831.1,-149
832.1,-219
833.1,-263
834.1,-284
835.1,-292
836.1,-280
837.1,-255
838.1,-220
839.1,-181
840.1,-148
841.1,-113
842.1,-55
843.1,26
844.1,117
845.1,217
846.1,313
847.1,390
848.1,451
849.1,483
850.1,473
851.1,434
852.1,365
853.1,269
854.1,158
855.1,51
856.1,-44
857.1,-134
858.1,-210
859.1,-254
860.1,-273
861.1,-264
862.1,-213
863.1,-147
864.1,-86
865.1,-14
866.1,67
867.1,124
868.1,163
869.1,192
870.1,202
871.1,198
872.1,191
873.1,168
874.1,130
875.1,123
876.1,119
877.1,83
878.1,72
879.1,83
880.1,84
881.1,105
882.1,130
883.1,139
884.1,161
885.1,184
886.1,188
887.1,171
888.1,137
889.1,103
890.1,65
891.1,19
892.1,-38
893.1,-100
894.1,-154
895.1,-188
896.1,-216
897.1,-241
898.1,-257
899.1,-264
900.1,-262
901.1,-246
902.1,-213
903.1,-181
904.1,-167
905.1,-160
906.1,-143
907.1,-120
908.1,-109
909.1,-114
910.1,-126
911.1,-145
912.1,-152
913.1,-154
914.1,-175
915.1,-191
916.1,-196
917.1,-200
918.1,-193
919.1,-192
920.1,-195
921.1,-183
922.1,-153
923.1,-131
924.1,-127
925.1,-105
926.1,-57
927.1,-22
928.1,-16
929.1,-7
930.1,26
931.1,47
932.1,46
933.1,47
934.1,60
935.1,74
936.1,79
937.1,78
938.1,85
939.1,99
940.1,94
941.1,95
942.1,105
943.1,99
944.1,92
945.1,86
946.1,72
947.1,64
948.1,74
949.1,80
950.1,78
951.1,69
952.1,62
953.1,77
954.1,85
955.1,79
956.1,92
957.1,111
958.1,121
959.1,122
960.1,115
961.1,118
962.1,115
963.1,96
964.1,87
965.1,96
966.1,95
967.1,81
968.1,74
969.1,63
970.1,45
971.1,41
972.1,40
973.1,35
974.1,37
975.1,23
976.1,9
977.1,20
978.1,23
979.1,14
980.1,-1
981.1,-20
982.1,-20
983.1,-10
984.1,-12
985.1,-28
986.1,-40
987.1,-32
988.1,-28
989.1,-36
990.1,-49
991.1,-64
992.1,-66
993.1,-51
994.1,-34
995.1,-30
996.1,-37
997.1,-35
998.1,-29
999.1,-26
1000.1,-18
1001.1,-20
1002.1,-38
1003.1,-36
1004.1,-19
1005.1,-11
1006.1,-9
1007.1,-19
1008.1,-27
1009.1,-13
1010.1,-3
1011.1,1
1012.1,14
1013.1,14
1014.1,5
1015.1,9
1016.1,7
1017.1,-4
1018.1,-1
1019.1,-7
1020.1,-24
1021.1,-16
1022.1,-10
1023.1,-27
1024.1,-36
1025.1,-35
1026.1,-37
1027.1,-36
1028.1,-39
1029.1,-38
1030.1,-36
1031.1,-47
1032.1,-48
1033.1,-35
1034.1,-36
1035.1,-46
1036.1,-50
1037.1,-48
1038.1,-38
1039.1,-36
1040.1,-32
1041.1,-18
1042.1,-12
1043.1,-14
1044.1,-11
1045.1,0
1046.1,10
1047.1,7
1048.1,6
1049.1,11
1050.1,13
1051.1,14
1052.1,18
1053.1,24
1054.1,28
1055.1,25
1056.1,32
1057.1,49
1058.1,52
1059.1,40
1060.1,41
1061.1,50
1062.1,48
1063.1,39
1064.1,32
1065.1,31
1066.1,33
1067.1,27
1068.1,14
1069.1,10
1070.1,11
1071.1,6
1072.1,-9
1073.1,-42
1074.1,-80
1075.1,-84
1076.1,-38
1077.1,15
1078.1,29
1079.1,40
1080.1,80
1081.1,111
1082.1,115
1083.1,87
1084.1,38
1085.1,-13
1086.1,-56
1087.1,-90
1088.1,-109
1089.1,-116
1090.1,-116
1091.1,-109
1092.1,-97
1093.1,-82
1094.1,-67
1095.1,-47
1096.1,-21
1097.1,4
1098.1,17
1099.1,17
1100.1,11
1101.1,7
1102.1,8
1103.1,12
1104.1,13
1105.1,15
1106.1,24
1107.1,34
1108.1,43
1109.1,58
1110.1,64
1111.1,77
1112.1,110
1113.1,136
1114.1,146
1115.1,143
1116.1,127
1117.1,117
1118.1,113
1119.1,98
1120.1,70
1121.1,40
1122.1,20
1123.1,5
1124.1,-23
1125.1,-64
1126.1,-103
1127.1,-125
1128.1,-132
1129.1,-132
1130.1,-126
1131.1,-111
1132.1,-90
1133.1,-78
1134.1,-73
1135.1,-43
1136.1,-5
1137.1,2
1138.1,-8
1139.1,0
1140.1,13
1141.1,10
1142.1,-9
1143.1,-26
1144.1,-42
1145.1,-54
1146.1,-53
1147.1,-50
1148.1,-52
1149.1,-38
1150.1,-14
1151.1,0
1152.1,12
1153.1,30
1154.1,40
1155.1,38
1156.1,33
1157.1,41
1158.1,53
1159.1,60
1160.1,57
1161.1,39
1162.1,23
1163.1,29
1164.1,27
1165.1,9
1166.1,-4
1167.1,-8
1168.1,-4
1169.1,5
1170.1,4
1171.1,1
1172.1,4
1173.1,0
1174.1,-3
1175.1,10
1176.1,23
1177.1,26
1178.1,20
1179.1,10
1180.1,15
1181.1,22
1182.1,11
1183.1,-7
1184.1,-15
1185.1,-15
1186.1,-14
1187.1,-12
1188.1,-12
1189.1,-18
1190.1,-19
1191.1,-13
1192.1,-17
1193.1,-14
1194.1,2
1195.1,1
1196.1,-6
1197.1,0
1198.1,9
1199.1,15
1200.1,12
1201.1,6
1202.1,10
1203.1,9
1204.1,2
1205.1,4
1206.1,9
1207.1,3
1208.1,-6
1209.1,-11
1210.1,-13
1211.1,-10
1212.1,-16
1213.1,-31
1214.1,-37
1215.1,-27
1216.1,-13
1217.1,-9
1218.1,-12
1219.1,-8
1220.1,2
1221.1,7
1222.1,2
1223.1,-4
1224.1,-5
1225.1,-3
1226.1,3
1227.1,5
1228.1,3
1229.1,5
1230.1,6
1231.1,-5
1232.1,-11
1233.1,4
1234.1,14
1235.1,5
1236.1,-6
1237.1,-3
1238.1,5
1239.1,7
1240.1,-4
1241.1,-15
1242.1,-13
1243.1,-10
1244.1,-7
1245.1,-2
1246.1,2
1247.1,7
1248.1,17
1249.1,20
1250.1,26
1251.1,34
1252.1,32
1253.1,30
1254.1,34
1255.1,30
1256.1,17
1257.1,17
1258.1,17
1259.1,4
1260.1,0
1261.1,3
1262.1,0
1263.1,-2
1264.1,-5
1265.1,-12
1266.1,-7
1267.1,5
1268.1,9
1269.1,9
1270.1,11
1271.1,5
1272.1,-7
1273.1,-5
1274.1,8
1275.1,9
1276.1,-5
1277.1,-23
1278.1,-27
1279.1,-17
1280.1,-5
1281.1,-6
1282.1,-14
1283.1,-16
1284.1,-14
1285.1,-4
1286.1,2
1287.1,-5
1288.1,-8
1289.1,-8
1290.1,-11
1291.1,-6
1292.1,-9
1293.1,-25
1294.1,-30
1295.1,-25
1296.1,-23
1297.1,-18
1298.1,-19
1299.1,-32
1300.1,-31
1301.1,-12
1302.1,1
1303.1,1
1304.1,-6
1305.1,-6
1306.1,1
1307.1,4
1308.1,8
1309.1,13
1310.1,8
1311.1,4
1312.1,15
1313.1,22
1314.1,18
1315.1,27
1316.1,32
1317.1,18
1318.1,16
1319.1,27
1320.1,25
1321.1,18
1322.1,15
1323.1,9
1324.1,6
1325.1,5
1326.1,-1
1327.1,-7
1328.1,-13
1329.1,-22
1330.1,-26
1331.1,-19
1332.1,-14
1333.1,-25
1334.1,-39
1335.1,-38
1336.1,-21
1337.1,-11
1338.1,-18
1339.1,-21
1340.1,-9
1341.1,2
1342.1,3
1343.1,-3
1344.1,-7
1345.1,3
1346.1,10
1347.1,2
1348.1,2
1349.1,11
1350.1,5
1351.1,-7
1352.1,-6
1353.1,-4
1354.1,-6
1355.1,-8
1356.1,-13
1357.1,-16
1358.1,-7
1359.1,3
1360.1,6
1361.1,12
1362.1,18
1363.1,22
1364.1,31
1365.1,43
1366.1,45
1367.1,34
1368.1,34
1369.1,40
1370.1,29
1371.1,13
1372.1,11
1373.1,10
1374.1,0
1375.1,-11
1376.1,-22
1377.1,-26
1378.1,-27
1379.1,-38
1380.1,-49
1381.1,-47
1382.1,-35
1383.1,-28
1384.1,-33
1385.1,-37
1386.1,-34
1387.1,-32
1388.1,-29
1389.1,-27
1390.1,-34
1391.1,-33
1392.1,-24
1393.1,-24
1394.1,-30
1395.1,-23
1396.1,-16
1397.1,-21
1398.1,-14
1399.1,-6
1400.1,-14
1401.1,-14
1402.1,1
1403.1,9
1404.1,6
1405.1,2
1406.1,-1
1407.1,0
1408.1,1
1409.1,-8
1410.1,-16
1411.1,-12
1412.1,-4
1413.1,1
1414.1,5
1415.1,17
1416.1,31
1417.1,29
1418.1,24
1419.1,30
1420.1,34
1421.1,38
1422.1,52
1423.1,65
1424.1,83
1425.1,110
1426.1,130
1427.1,136
1428.1,126
1429.1,109
1430.1,95
1431.1,72
1432.1,38
1433.1,14
1434.1,0
1435.1,-20
1436.1,-40
1437.1,-50
1438.1,-61
1439.1,-77
1440.1,-91
1441.1,-101
1442.1,-104
1443.1,-91
1444.1,-72
1445.1,-57
1446.1,-48
1447.1,-30
1448.1,-6
1449.1,-3
1450.1,-28
1451.1,-58
1452.1,-87
1453.1,-117
1454.1,-146
1455.1,-174
1456.1,-198
1457.1,-210
1458.1,-214
1459.1,-203
1460.1,-178
1461.1,-149
1462.1,-110
1463.1,-55
1464.1,6
1465.1,74
1466.1,153
1467.1,230
1468.1,291
1469.1,332
1470.1,363
1471.1,392
1472.1,399
1473.1,362
1474.1,306
1475.1,250
1476.1,175
1477.1,83
1478.1,-11
1479.1,-99
1480.1,-172
1481.1,-233
1482.1,-283
1483.1,-300
1484.1,-288
1485.1,-267
1486.1,-237
1487.1,-191
1488.1,-127
1489.1,-54
1490.1,6
1491.1,51
1492.1,93
1493.1,122
1494.1,133
1495.1,132
1496.1,118
1497.1,95
1498.1,76
1499.1,57
1500.1,45
1501.1,49
1502.1,59
1503.1,68
1504.1,85
1505.1,115
1506.1,158
1507.1,197
1508.1,218
1509.1,232
1510.1,247
1511.1,255
1512.1,249
1513.1,229
1514.1,195
1515.1,156
1516.1,118
1517.1,69
1518.1,16
1519.1,-28
1520.1,-70
1521.1,-110
1522.1,-138
1523.1,-152
1524.1,-152
1525.1,-146
1526.1,-145
1527.1,-140
1528.1,-122
1529.1,-99
1530.1,-80
1531.1,-76
1532.1,-86
1533.1,-91
1534.1,-96
1535.1,-111
1536.1,-132
1537.1,-150
1538.1,-177
1539.1,-216
1540.1,-242
1541.1,-251
1542.1,-259
1543.1,-269
1544.1,-276
1545.1,-278
1546.1,-262
1547.1,-232
1548.1,-213
1549.1,-204
1550.1,-184
1551.1,-151
1552.1,-118
1553.1,-86
1554.1,-57
1555.1,-41
1556.1,-24
1557.1,2
