t,az
2.50,154
4.48,172
6.45,214
8.43,266
10.40,274
12.40,310
14.38,344
16.35,352
18.33,290
20.30,290
22.30,314
24.28,314
26.25,406
28.23,406
30.20,492
32.10,492
34.08,578
36.05,600
38.03,582
40.00,554
42.00,522
43.98,456
45.95,384
47.93,322
49.90,260
51.90,190
53.88,92
55.85,24
57.83,-36
59.80,-94
61.80,-166
63.78,-246
65.75,-312
67.73,-352
69.70,-400
71.70,-448
73.68,-462
75.65,-446
77.63,-422
79.60,-386
81.60,-368
83.58,-332
85.55,-268
87.53,-196
89.50,-132
91.50,-70
93.48,-16
95.45,70
97.43,144
99.40,224
101.30,280
103.28,354
105.25,372
107.23,388
109.20,400
111.20,398
113.18,380
115.15,394
117.13,382
119.10,364
121.10,376
123.08,372
125.05,360
127.03,374
129.00,374
131.00,384
132.98,396
134.95,390
136.93,420
138.90,448
140.90,442
142.88,424
144.85,408
146.83,400
148.80,382
150.80,344
152.78,298
154.75,260
156.73,240
158.70,252
160.70,252
162.68,256
164.65,220
166.63,214
168.60,200
170.50,194
172.48,196
174.45,184
176.43,156
178.40,114
180.40,96
182.38,112
184.35,106
186.33,100
188.30,102
190.30,100
192.28,116
194.25,128
196.23,136
198.20,142
200.20,160
202.18,184
204.15,184
206.13,174
208.10,182
210.10,196
212.08,210
214.05,224
216.03,224
218.00,220
220.00,194
221.98,196
223.95,202
225.93,218
227.90,210
229.90,222
231.88,232
233.85,254
235.83,290
237.80,306
239.70,276
241.68,272
243.65,272
245.63,234
247.60,212
249.60,190
251.58,198
253.55,226
255.53,240
257.50,258
259.50,328
261.48,328
263.45,338
265.43,360
267.40,342
269.40,342
271.38,344
273.35,344
275.33,288
277.30,288
279.30,254
281.28,254
283.25,212
285.23,214
287.20,222
289.20,254
291.18,278
293.15,306
295.13,338
297.10,340
299.10,326
301.08,312
303.05,332
305.03,346
307.00,322
308.90,324
310.88,300
312.85,278
314.83,260
316.80,258
318.80,254
320.78,256
322.75,266
324.73,256
326.70,250
328.70,268
330.68,292
332.65,276
334.63,278
336.60,296
338.60,312
340.58,290
342.55,272
344.53,262
346.50,238
348.50,226
350.48,216
352.45,214
354.43,232
356.40,224
358.40,218
360.38,214
362.35,232
364.33,222
366.30,216
368.20,244
370.20,242
372.20,240
374.20,260
376.20,278
378.10,278
380.08,296
382.05,284
384.03,302
386.00,316
388.00,324
389.98,320
391.95,314
393.93,306
395.90,330
397.90,336
399.88,338
401.85,338
403.83,346
405.80,322
407.80,326
409.78,348
411.75,320
413.73,308
415.70,300
417.70,270
419.68,236
421.65,252
423.63,242
425.60,244
427.60,228
429.58,206
431.55,184
433.53,156
435.50,156
437.50,152
439.48,166
441.45,150
443.43,120
445.40,108
447.30,78
449.28,66
451.25,60
453.23,82
455.20,90
457.20,120
459.18,152
461.15,182
463.13,222
465.10,278
467.10,324
469.08,370
471.05,406
473.03,434
475.00,424
477.00,386
478.98,342
480.95,302
482.93,234
484.90,176
486.90,152
488.88,138
490.85,114
492.83,106
494.80,82
496.80,72
498.78,94
500.75,106
502.73,106
504.70,114
506.70,154
508.68,208
510.65,208
512.63,204
514.60,204
516.50,210
518.48,210
520.45,192
522.43,192
524.40,222
526.40,250
528.38,268
530.35,280
532.33,264
534.30,226
536.30,222
538.28,198
540.25,232
542.23,254
544.20,310
546.20,390
548.18,456
550.15,508
552.13,546
554.10,560
556.10,570
558.08,542
560.05,492
562.03,430
564.00,390
566.00,320
567.98,264
569.95,192
571.93,140
573.90,78
575.90,34
577.88,-52
579.85,-158
581.83,-244
583.80,-296
585.70,-378
587.68,-408
589.65,-412
591.63,-414
593.60,-408
595.60,-398
597.58,-412
599.55,-366
601.53,-308
603.50,-254
605.50,-194
607.48,-140
609.45,-92
611.43,-36
613.40,16
615.40,84
617.38,126
619.35,168
621.33,198
623.30,234
625.30,284
627.28,304
629.25,324
631.23,318
633.20,302
635.20,314
637.18,318
639.15,308
641.13,308
643.10,302
645.10,330
647.08,334
649.05,332
651.03,334
653.00,364
654.90,378
656.88,390
658.85,390
660.83,406
662.80,386
664.80,388
666.78,388
668.75,350
670.73,364
672.70,372
674.70,368
676.68,376
678.65,382
680.63,362
682.60,326
684.60,306
686.58,284
688.55,272
690.53,260
692.50,240
694.50,242
696.48,214
698.45,198
700.43,190
702.40,178
704.40,170
706.38,192
708.35,220
710.33,210
712.30,224
714.20,222
716.20,218
718.20,220
720.20,216
722.20,230
724.10,240
726.08,232
728.05,260
730.03,276
732.00,264
734.00,228
735.98,228
737.95,200
739.93,212
741.90,224
743.90,224
745.88,210
747.85,198
749.83,222
751.80,222
753.80,220
755.78,242
757.75,246
759.73,246
761.70,210
763.70,210
765.68,200
767.65,200
769.63,162
771.60,148
773.60,146
775.58,158
777.55,150
779.53,164
781.50,154
783.40,174
785.40,190
787.40,192
789.40,178
791.40,178
793.30,178
795.28,184
797.25,164
799.23,144
801.20,154
803.20,168
805.18,192
807.15,234
809.13,272
811.10,298
813.10,322
815.08,344
817.05,378
819.03,410
821.00,410
823.00,412
824.98,428
826.95,436
828.93,422
830.90,402
832.90,404
834.88,412
836.85,392
838.83,362
840.80,338
842.80,332
844.78,364
846.75,372
848.73,374
850.70,392
852.60,374
854.60,362
856.60,354
858.60,338
860.60,336
862.50,320
864.48,298
866.45,302
868.43,310
870.40,312
872.40,286
874.38,280
876.35,270
878.33,276
880.30,266
882.30,260
884.28,266
886.25,262
888.23,266
890.20,300
892.20,324
894.18,338
896.15,364
898.13,390
900.10,364
902.10,364
904.08,378
906.05,386
908.03,376
910.00,360
912.00,352
913.98,354
915.95,366
917.93,360
919.90,374
921.80,386
923.80,370
925.80,352
927.80,348
929.80,364
931.70,320
933.68,320
935.65,316
937.63,298
939.60,294
941.60,312
943.58,322
945.55,316
947.53,302
949.50,296
951.50,266
953.48,252
955.45,238
957.43,216
959.40,204
961.40,198
963.38,166
965.35,170
967.33,154
969.30,134
971.30,108
973.28,110
975.25,144
977.23,174
979.20,192
981.20,224
983.18,278
985.15,308
987.13,328
989.10,366
991.00,434
993.00,434
995.00,444
997.00,432
999.00,352
1000.90,352
1002.88,296
1004.85,296
1006.83,198
1008.80,198
1010.80,142
1012.78,142
1014.75,92
1016.73,64
1018.70,58
1020.70,52
1022.68,30
1024.65,34
1026.63,58
1028.60,68
1030.60,90
