t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.7,134.23,120.04,-108.34,-53.93
13.5,129.23,117.04,-111.34,-53.93
23.4,129.23,117.04,-112.34,-54.93
33.3,123.23,118.04,-115.34,-55.93
43.2,123.23,118.04,-116.34,-54.93
53.1,115.23,116.04,-118.34,-56.93
63.0,115.23,116.04,-120.34,-57.93
72.9,104.23,115.04,-121.34,-57.93
82.7,104.23,115.04,-122.34,-57.93
92.6,95.23,112.04,-123.34,-57.93
102.5,95.23,112.04,-126.34,-58.93
112.4,81.23,107.04,-127.34,-59.93
122.3,81.23,107.04,-127.34,-58.93
132.2,68.23,103.04,-128.34,-59.93
142.1,68.23,103.04,-130.34,-60.93
151.9,52.23,96.043,-132.34,-60.93
161.8,52.23,96.043,-135.34,-62.93
171.7,44.23,93.043,-139.34,-61.93
181.6,36.23,90.043,-141.34,-62.93
191.5,28.23,87.043,-143.34,-61.93
201.4,19.23,82.043,-143.34,-60.93
211.3,11.23,81.043,-147.34,-61.93
221.1,5.2298,81.043,-148.34,-59.93
231.0,0.22983,81.043,-150.34,-59.93
240.9,-5.7702,82.043,-153.34,-58.93
250.8,11.23,103.04,-156.34,-57.93
260.7,22.23,112.04,-157.34,-57.93
270.6,25.23,100.04,-158.34,-58.93
280.5,28.23,88.043,-158.34,-57.93
290.3,44.23,87.043,-156.34,-53.93
300.2,55.23,86.043,-147.34,-50.93
310.1,64.23,84.043,-134.34,-45.93
320.0,70.23,82.043,-124.34,-41.93
329.9,73.23,79.043,-115.34,-39.93
339.8,75.23,79.043,-108.34,-38.93
349.7,76.23,80.043,-102.34,-36.93
359.5,79.23,84.043,-95.343,-33.93
369.4,86.23,91.043,-91.343,-32.93
379.3,88.23,96.043,-87.343,-32.93
389.2,86.23,94.043,-87.343,-32.93
399.1,85.23,95.043,-87.343,-32.93
409.0,79.23,93.043,-88.343,-34.93
418.9,75.23,94.043,-91.343,-36.93
428.7,72.23,91.043,-93.343,-35.93
438.6,67.23,88.043,-95.343,-36.93
448.5,68.23,86.043,-98.343,-35.93
458.4,60.23,83.043,-99.343,-36.93
468.3,56.23,79.043,-100.34,-36.93
478.2,55.23,78.043,-101.34,-34.93
488.1,52.23,75.043,-100.34,-33.93
497.9,47.23,74.043,-102.34,-33.93
507.8,46.23,74.043,-101.34,-32.93
517.7,42.23,73.043,-100.34,-32.93
527.6,41.23,74.043,-100.34,-33.93
537.5,38.23,73.043,-103.34,-31.93
547.4,37.23,75.043,-104.34,-33.93
557.3,31.23,72.043,-105.34,-31.93
567.1,27.23,73.043,-104.34,-31.93
577.0,22.23,70.043,-105.34,-30.93
586.9,16.23,68.043,-106.34,-30.93
596.8,10.23,67.043,-108.34,-30.93
606.7,5.2298,65.043,-109.34,-31.93
616.6,-0.77017,62.043,-109.34,-29.93
626.5,-6.7702,61.043,-115.34,-33.93
636.3,-14.77,58.043,-114.34,-31.93
646.2,-19.77,57.043,-118.34,-32.93
656.1,-28.77,52.043,-118.34,-33.93
666.0,-36.77,51.043,-120.34,-32.93
675.9,-42.77,49.043,-123.34,-33.93
685.8,-50.77,45.043,-126.34,-34.93
695.7,-55.77,46.043,-128.34,-35.93
705.5,-59.77,45.043,-131.34,-36.93
715.4,-64.77,46.043,-132.34,-36.93
725.3,-47.77,69.043,-137.34,-37.93
735.2,-32.77,81.043,-136.34,-37.93
745.1,-26.77,69.043,-136.34,-37.93
755.0,-16.77,66.043,-135.34,-34.93
764.9,2.2298,68.043,-136.34,-34.93
774.7,13.23,66.043,-130.34,-31.93
784.6,20.23,63.043,-116.34,-28.93
794.5,26.23,60.043,-116.34,-28.93
804.4,29.23,58.043,-103.34,-26.93
814.3,24.23,51.043,-103.34,-26.93
824.2,21.23,46.043,-87.343,-22.93
834.1,20.23,45.043,-87.343,-22.93
843.9,19.23,45.043,-76.343,-20.93
853.8,19.23,45.043,-76.343,-20.93
863.7,19.23,49.043,-72.343,-19.93
873.6,19.23,49.043,-72.343,-19.93
883.5,22.23,59.043,-73.343,-25.93
893.4,22.23,59.043,-73.343,-25.93
903.3,23.23,62.043,-79.343,-29.93
913.1,23.23,62.043,-79.343,-29.93
923.0,23.23,60.043,-88.343,-31.93
932.9,23.23,60.043,-88.343,-31.93
942.8,23.23,61.043,-90.343,-33.93
952.7,23.23,61.043,-90.343,-33.93
962.6,23.23,62.043,-93.343,-31.93
972.5,23.23,62.043,-93.343,-31.93
982.3,21.23,63.043,-91.343,-30.93
992.2,21.23,63.043,-91.343,-30.93
1002.1,19.23,67.043,-92.343,-31.93
1012.0,19.23,67.043,-92.343,-29.93
1021.9,17.23,67.043,-94.343,-28.93
1031.8,16.23,68.043,-91.343,-30.93
1041.7,13.23,69.043,-94.343,-29.93
1051.5,11.23,70.043,-94.343,-29.93
1061.4,6.2298,70.043,-97.343,-31.93
1071.3,4.2298,70.043,-99.343,-30.93
1081.2,0.22983,70.043,-101.34,-30.93
1091.1,-4.7702,70.043,-104.34,-29.93
1101.0,-8.7702,69.043,-105.34,-28.93
1110.9,-13.77,67.043,-108.34,-31.93
1120.7,-20.77,66.043,-112.34,-31.93
1130.6,-24.77,65.043,-116.34,-33.93
1140.5,-29.77,64.043,-119.34,-35.93
1150.4,-34.77,63.043,-124.34,-37.93
1160.3,-39.77,62.043,-124.34,-37.93
1170.2,-45.77,61.043,-129.34,-39.93
1180.1,-46.77,63.043,-131.34,-39.93
1189.9,-51.77,65.043,-133.34,-40.93
1199.8,-47.77,74.043,-133.34,-39.93
1209.7,-26.77,98.043,-138.34,-40.93
1219.6,-14.77,101.04,-137.34,-40.93
1229.5,-6.7702,91.043,-138.34,-39.93
1239.4,8.2298,87.043,-140.34,-41.93
1249.3,23.23,87.043,-138.34,-40.93
1259.1,38.23,86.043,-129.34,-36.93
1269.0,48.23,85.043,-116.34,-32.93
1278.9,52.23,83.043,-106.34,-30.93
1288.8,59.23,81.043,-95.343,-28.93
1298.7,60.23,78.043,-86.343,-26.93
1308.6,61.23,76.043,-79.343,-25.93
1318.5,68.23,78.043,-71.343,-22.93
1328.3,79.23,86.043,-65.343,-20.93
1338.2,85.23,90.043,-61.343,-22.93
1348.1,89.23,96.043,-61.343,-21.93
1358.0,95.23,102.04,-62.343,-21.93
1367.9,101.23,107.04,-61.343,-25.93
1377.8,101.23,109.04,-63.343,-25.93
1387.7,101.23,109.04,-65.343,-26.93
1397.5,99.23,108.04,-71.343,-30.93
1407.4,98.23,106.04,-74.343,-32.93
1417.3,97.23,104.04,-75.343,-33.93
1427.2,95.23,103.04,-78.343,-33.93
1437.1,94.23,103.04,-79.343,-33.93
1447.0,96.23,105.04,-77.343,-32.93
1456.9,94.23,105.04,-78.343,-30.93
1466.7,96.23,107.04,-78.343,-30.93
1476.6,96.23,109.04,-79.343,-29.93
1486.5,94.23,109.04,-81.343,-30.93
1496.4,92.23,110.04,-83.343,-30.93
1506.3,90.23,109.04,-85.343,-30.93
1516.2,85.23,107.04,-87.343,-31.93
1526.1,81.23,108.04,-91.343,-33.93
1535.9,78.23,108.04,-92.343,-31.93
1545.8,75.23,106.04,-95.343,-34.93
1555.7,71.23,106.04,-95.343,-32.93
1565.6,67.23,107.04,-98.343,-34.93
1575.5,62.23,106.04,-103.34,-35.93
1585.4,57.23,105.04,-103.34,-35.93
1595.3,52.23,103.04,-107.34,-37.93
1605.1,48.23,104.04,-109.34,-38.93
1615.0,41.23,102.04,-113.34,-38.93
1624.9,34.23,100.04,-115.34,-40.93
1634.8,28.23,100.04,-118.34,-42.93
1644.7,22.23,98.043,-121.34,-43.93
1654.6,17.23,98.043,-123.34,-42.93
1664.5,12.23,100.04,-124.34,-43.93
1674.3,33.23,124.04,-126.34,-42.93
1684.2,44.23,128.04,-128.34,-43.93
1694.1,50.23,119.04,-130.34,-43.93
1704.0,57.23,107.04,-131.34,-42.93
1713.9,70.23,105.04,-132.34,-42.93
1723.8,70.23,105.04,-122.34,-38.93
1733.6,97.23,108.04,-108.34,-34.93
1743.5,97.23,108.04,-96.343,-29.93
1753.4,119.23,113.04,-85.343,-26.93
1763.3,119.23,113.04,-79.343,-25.93
1773.2,140.23,120.04,-69.343,-25.93
1783.1,140.23,120.04,-64.343,-22.93
1793.0,162.23,130.04,-59.343,-22.93
1802.9,162.23,130.04,-53.343,-21.93
1812.7,171.23,134.04,-52.343,-22.93
1822.6,171.23,134.04,-52.343,-22.93
1832.5,178.23,143.04,-50.343,-21.93
1842.4,178.23,143.04,-50.343,-21.93
1852.3,176.23,147.04,-56.343,-25.93
1862.2,176.23,147.04,-56.343,-25.93
1872.0,173.23,145.04,-62.343,-30.93
1881.9,173.23,145.04,-62.343,-30.93
1891.8,174.23,145.04,-69.343,-33.93
1901.7,173.23,145.04,-69.343,-33.93
1911.6,173.23,143.04,-75.343,-34.93
1921.5,171.23,143.04,-75.343,-34.93
1931.4,170.23,143.04,-77.343,-37.93
1941.2,167.23,142.04,-77.343,-37.93
1951.1,168.23,142.04,-79.343,-37.93
