t,pcg
0.0,-869
1.0,-794
2.0,-457
3.0,-14
4.0,232
5.0,73
6.0,-76
7.0,-69
8.0,-85
9.0,-63
10.0,-23
11.0,-15
12.0,-28
13.0,-22
14.0,6
15.0,18
16.0,-13
17.0,-23
18.0,16
19.0,24
20.0,3
21.0,8
22.0,19
23.0,20
24.0,46
25.0,96
26.0,128
27.0,133
28.0,133
29.0,142
30.0,158
31.0,155
32.0,141
33.0,139
34.0,126
35.0,83
36.0,56
37.0,53
38.0,31
39.0,-9
40.0,-36
41.01,-42
42.02,-52
43.03,-71
44.04,-64
45.05,-39
46.06,-28
47.07,-27
48.08,-39
49.09,-64
50.1,-70
51.1,-59
52.1,-72
53.1,-97
54.1,-116
55.1,-128
56.1,-128
57.1,-126
58.1,-137
59.1,-149
60.1,-139
61.1,-113
62.1,-81
63.1,-36
64.1,10
65.1,46
66.1,83
67.1,118
68.1,132
69.1,134
70.1,134
71.1,125
72.1,107
73.1,86
74.1,70
75.1,64
76.1,53
77.1,41
78.1,48
79.1,59
80.1,68
81.1,78
82.1,83
83.1,83
84.1,87
85.1,93
86.1,94
87.1,97
88.1,98
89.1,101
90.1,112
91.1,124
92.1,135
93.1,146
94.1,144
95.1,139
96.1,133
97.1,112
98.1,83
99.1,57
100.1,39
101.1,30
102.1,17
103.1,20
104.1,49
105.1,69
106.1,85
107.1,122
108.1,157
109.1,182
110.1,211
111.1,237
112.1,254
113.1,261
114.1,238
115.1,158
116.1,26
117.1,-157
118.1,-393
119.1,-634
120.1,-816
121.1,-899
122.1,-857
123.1,-694
124.1,-430
125.1,-109
126.1,205
127.1,466
128.1,621
129.1,635
130.1,525
131.1,281
132.1,-60
133.1,-369
134.1,-552
135.1,-457
136.1,42
137.1,786
138.1,1551
139.1,2275
140.1,2807
141.1,2790
142.1,2398
143.1,1928
144.1,1019
145.1,10
146.1,-845
147.1,-1745
148.1,-1862
149.1,-1533
150.1,-1941
151.1,-2334
152.1,-2010
153.1,-1642
154.1,-1597
155.1,-2078
156.1,-3344
157.1,-5051
158.1,-6803
159.1,-8335
160.1,-9167
161.1,-9150
162.1,-7679
163.1,-3927
164.1,2383
165.1,8513
166.1,10411
167.1,10129
168.1,10109
169.1,10288
170.1,9888
171.1,5540
172.1,-1433
173.1,-6659
174.1,-9251
175.1,-9465
176.1,-7964
177.1,-5636
178.1,-2738
179.1,150
180.1,2291
181.1,3599
182.1,4054
183.1,3588
184.1,2552
185.1,1423
186.1,333
187.1,-639
188.1,-1302
