t,az
2.00,4898
3.98,4894
5.95,4894
7.93,4884
9.90,4886
11.90,4878
13.88,4848
15.85,4832
17.83,4840
19.80,4862
21.80,4876
23.78,4878
25.75,4864
27.73,4868
29.70,4872
31.60,4856
33.60,4852
35.60,4842
37.60,4834
39.60,4822
41.50,4808
43.48,4806
45.45,4812
47.43,4792
49.40,4768
51.40,4760
53.38,4782
55.35,4796
57.33,4780
59.30,4770
61.30,4772
63.28,4768
65.25,4768
67.23,4754
69.20,4780
71.20,4780
73.18,4772
75.15,4774
77.13,4774
79.10,4772
81.10,4772
83.08,4800
85.05,4780
87.03,4768
89.00,4768
91.00,4766
92.98,4748
94.95,4740
96.93,4730
98.90,4702
100.80,4698
102.80,4728
104.80,4742
106.80,4750
108.80,4778
110.70,4794
112.68,4786
114.65,4800
116.63,4802
118.60,4832
120.60,4826
122.58,4814
124.55,4842
126.53,4838
128.50,4816
130.50,4794
132.48,4780
134.45,4766
136.43,4786
138.40,4768
140.40,4736
142.38,4734
144.35,4726
146.33,4730
148.30,4732
150.30,4746
152.28,4758
154.25,4758
156.23,4726
158.20,4726
160.20,4732
162.18,4732
164.15,4710
166.13,4710
168.10,4708
170.00,4708
172.00,4686
174.00,4686
176.00,4692
178.00,4688
179.90,4664
181.88,4682
183.85,4676
185.83,4670
187.80,4672
189.80,4674
191.78,4692
193.75,4682
195.73,4682
197.70,4680
199.70,4676
201.68,4668
203.65,4670
205.63,4704
207.60,4740
209.60,4740
211.58,4750
213.55,4744
215.53,4740
217.50,4732
219.50,4732
221.48,4746
223.45,4734
225.43,4728
227.40,4770
229.40,4788
231.38,4792
233.35,4772
235.33,4752
237.30,4746
239.20,4732
241.20,4738
243.20,4718
245.20,4734
247.20,4740
249.10,4740
251.08,4746
253.05,4740
255.03,4720
257.00,4674
259.00,4658
260.98,4654
262.95,4650
264.93,4636
266.90,4636
268.90,4636
270.88,4630
272.85,4634
274.83,4630
276.80,4646
278.80,4668
280.78,4652
282.75,4658
284.73,4664
286.70,4638
288.70,4604
290.68,4596
292.65,4590
294.63,4594
296.60,4584
298.60,4606
300.58,4612
302.55,4604
304.53,4606
306.50,4596
308.40,4620
310.40,4634
312.40,4626
314.40,4644
316.40,4614
318.30,4596
320.28,4614
322.25,4640
324.23,4648
326.20,4652
328.20,4664
330.18,4662
332.15,4648
334.13,4660
336.10,4680
338.10,4682
340.08,4674
342.05,4664
344.03,4686
346.00,4690
348.00,4686
349.98,4716
351.95,4728
353.93,4726
355.90,4752
357.90,4760
359.88,4780
361.85,4784
363.83,4780
365.80,4802
367.80,4812
369.78,4822
371.75,4806
373.73,4824
375.70,4832
377.60,4846
379.60,4846
381.60,4864
383.60,4858
385.60,4882
387.50,4910
389.48,4934
391.45,4940
393.43,4912
395.40,4902
397.40,4896
399.38,4872
401.35,4820
403.33,4754
405.30,4700
407.30,4646
409.28,4600
411.25,4570
413.23,4528
415.20,4494
417.20,4448
419.18,4438
421.15,4442
423.13,4458
425.10,4500
427.10,4528
429.08,4574
431.05,4656
433.03,4714
435.00,4754
437.00,4786
438.98,4856
440.95,4906
442.93,4952
444.90,4922
446.80,4922
448.78,4896
450.75,4874
452.73,4842
454.70,4842
456.70,4770
458.68,4770
460.65,4770
462.63,4770
464.60,4756
466.60,4768
468.58,4788
470.55,4832
472.53,4872
474.50,4900
476.50,4880
478.48,4850
480.45,4846
482.43,4866
484.40,4878
486.40,4866
488.38,4848
490.35,4828
492.33,4806
494.30,4768
496.30,4736
498.28,4712
500.25,4678
502.23,4648
504.20,4644
506.20,4622
508.18,4614
510.15,4626
512.13,4614
514.10,4590
516.00,4594
518.00,4594
520.00,4602
522.00,4606
524.00,4598
525.90,4618
527.88,4626
529.85,4632
531.83,4660
533.80,4680
535.80,4670
537.78,4676
539.75,4686
541.73,4686
543.70,4688
545.70,4708
547.68,4726
549.65,4756
551.63,4758
553.60,4762
555.60,4754
557.58,4746
559.55,4758
561.53,4802
563.50,4820
565.50,4812
567.48,4810
569.45,4812
571.43,4812
573.40,4826
575.40,4830
577.38,4858
579.35,4840
581.33,4818
583.30,4802
585.20,4808
587.18,4806
589.15,4794
591.13,4784
593.10,4772
595.10,4740
597.08,4744
599.05,4752
601.03,4772
603.00,4732
605.00,4710
606.98,4676
608.95,4680
610.93,4712
612.90,4728
614.90,4738
616.88,4752
618.85,4734
620.83,4718
622.80,4732
624.80,4742
626.78,4748
628.75,4746
630.73,4740
632.70,4764
634.70,4750
636.68,4742
638.65,4742
640.63,4742
642.60,4770
644.60,4770
646.58,4776
648.55,4764
650.53,4762
652.50,4756
654.40,4760
656.40,4758
658.40,4768
660.40,4748
662.40,4748
664.30,4748
666.28,4742
668.25,4734
670.23,4710
672.20,4696
674.20,4674
676.18,4676
678.15,4682
680.13,4664
682.10,4648
684.10,4626
686.08,4616
688.05,4622
690.03,4632
692.00,4612
694.00,4606
695.98,4612
697.95,4606
699.93,4622
701.90,4640
703.90,4628
705.88,4644
707.85,4644
709.83,4642
711.80,4670
713.80,4684
715.78,4694
717.75,4718
719.73,4724
721.70,4724
723.60,4734
725.58,4754
727.55,4754
729.53,4766
731.50,4772
733.50,4790
735.48,4804
737.45,4818
739.43,4818
741.40,4860
743.40,4860
745.38,4824
747.35,4824
749.33,4808
751.30,4808
753.30,4838
755.28,4860
757.25,4878
759.23,4870
761.20,4878
763.20,4876
765.18,4888
767.15,4878
769.13,4878
771.10,4894
773.10,4886
775.08,4868
777.05,4844
779.03,4830
781.00,4828
783.00,4820
784.98,4802
786.95,4792
788.93,4800
790.90,4814
792.80,4834
794.78,4824
796.75,4822
798.73,4828
800.70,4824
802.70,4804
804.68,4798
806.65,4814
808.63,4818
810.60,4818
812.60,4828
814.58,4844
816.55,4842
818.53,4830
820.50,4826
822.50,4830
824.48,4832
826.45,4804
828.43,4784
830.40,4778
832.40,4762
834.38,4744
836.35,4752
838.33,4746
840.30,4734
842.30,4730
844.28,4732
846.25,4732
848.23,4720
850.20,4700
852.20,4692
854.18,4696
856.15,4706
858.13,4694
860.10,4710
862.00,4738
863.98,4736
865.95,4756
867.93,4750
869.90,4744
871.90,4732
873.88,4738
875.85,4728
877.83,4744
879.80,4752
881.80,4740
883.78,4740
885.75,4742
887.73,4728
889.70,4698
891.70,4678
893.68,4662
895.65,4662
897.63,4660
899.60,4696
901.60,4718
903.58,4764
905.55,4798
907.53,4796
909.50,4784
911.50,4816
913.48,4850
915.45,4862
917.43,4864
919.40,4844
921.40,4860
923.38,4876
925.35,4892
927.33,4908
929.30,4888
931.20,4874
933.18,4854
935.15,4840
937.13,4810
939.10,4764
941.10,4728
943.08,4698
945.05,4684
947.03,4662
949.00,4612
951.00,4574
952.98,4524
954.95,4494
956.93,4486
958.90,4502
960.90,4524
962.88,4554
964.85,4584
966.83,4638
968.80,4676
970.80,4704
972.78,4730
974.75,4770
976.73,4824
978.70,4822
980.70,4812
982.68,4798
984.65,4784
986.63,4756
988.60,4734
990.60,4716
992.58,4700
994.55,4702
996.53,4698
998.50,4692
1000.40,4704
1002.38,4720
1004.35,4752
1006.33,4820
1008.30,4820
1010.30,4882
1012.28,4882
1014.25,4908
1016.23,4908
1018.20,4936
1020.20,4936
1022.18,4902
1024.15,4902
1026.13,4814
1028.10,4772
1030.10,4742
1032.08,4720
1034.05,4686
1036.03,4680
1038.00,4684
1040.00,4670
1041.98,4648
1043.95,4640
1045.93,4628
1047.90,4622
1049.90,4618
1051.88,4608
1053.85,4612
1055.83,4630
1057.80,4630
1059.80,4630
1061.78,4652
1063.75,4664
1065.73,4668
1067.70,4692
1069.60,4720
1071.58,4730
1073.55,4718
1075.53,4726
1077.50,4742
1079.50,4776
1081.48,4802
1083.45,4822
1085.43,4838
1087.40,4858
1089.40,4856
1091.38,4832
1093.35,4846
1095.33,4842
1097.30,4828
1099.30,4858
1101.28,4894
1103.25,4916
1105.23,4914
1107.20,4902
1109.20,4910
1111.18,4916
1113.15,4916
1115.13,4912
1117.10,4894
1119.10,4888
1121.08,4874
1123.05,4872
1125.03,4882
1127.00,4908
1129.00,4916
1130.98,4894
1132.95,4884
1134.93,4888
1136.90,4886
1138.80,4876
1140.78,4860
1142.75,4838
1144.73,4826
1146.70,4810
1148.70,4806
1150.68,4770
1152.65,4772
1154.63,4780
1156.60,4782
1158.60,4782
1160.58,4768
1162.55,4762
1164.53,4780
1166.50,4780
1168.50,4774
1170.48,4766
1172.45,4750
1174.43,4754
1176.40,4766
1178.40,4768
1180.38,4796
1182.35,4796
1184.33,4776
1186.30,4786
1188.30,4794
1190.28,4798
1192.25,4794
1194.23,4784
1196.20,4778
1198.20,4780
1200.18,4780
1202.15,4788
1204.13,4796
1206.10,4792
1208.00,4764
1209.98,4740
1211.95,4746
1213.93,4754
1215.90,4748
1217.90,4728
1219.88,4722
1221.85,4722
1223.83,4716
1225.80,4728
1227.80,4720
1229.78,4728
1231.75,4744
1233.73,4748
1235.70,4734
1237.70,4748
1239.68,4764
1241.65,4774
1243.63,4772
1245.60,4770
1247.60,4766
1249.58,4770
1251.55,4796
1253.53,4822
1255.50,4810
1257.50,4784
1259.48,4770
1261.45,4790
1263.43,4788
1265.40,4774
1267.40,4768
1269.38,4754
1271.35,4774
1273.33,4756
1275.30,4750
1277.20,4750
1279.18,4780
1281.15,4812
1283.13,4816
1285.10,4816
1287.10,4814
1289.08,4814
1291.05,4798
1293.03,4798
1295.00,4830
1297.00,4818
1298.98,4818
1300.95,4818
1302.93,4810
1304.90,4798
1306.90,4806
1308.88,4808
1310.85,4798
1312.83,4808
1314.80,4834
1316.80,4816
1318.78,4794
1320.75,4796
1322.73,4802
1324.70,4798
1326.70,4784
1328.68,4776
1330.65,4786
1332.63,4780
1334.60,4764
1336.60,4752
1338.58,4762
1340.55,4774
1342.53,4778
1344.50,4776
1346.40,4762
1348.38,4768
1350.35,4764
1352.33,4758
1354.30,4760
1356.30,4742
1358.28,4728
1360.25,4712
1362.23,4692
1364.20,4704
1366.20,4724
1368.18,4728
1370.15,4726
1372.13,4730
1374.10,4710
1376.10,4686
1378.08,4674
1380.05,4650
1382.03,4644
1384.00,4668
1386.00,4666
1387.98,4678
1389.95,4690
1391.93,4702
1393.90,4736
1395.90,4734
1397.88,4776
1399.85,4790
1401.83,4786
1403.80,4766
1405.80,4762
1407.78,4776
1409.75,4766
1411.73,4770
1413.70,4774
1415.60,4778
1417.58,4776
