t,lead_I,lead_II,v3,v4
1.9,-119138,-141424,91895,87150
3.9,-120543,-142435,91599,87010
5.9,-120802,-142617,91577,87003
7.9,-121571,-143106,91581,87024
9.9,-122681,-143905,91281,86771
11.9,-122465,-143892,90834,86284
13.9,-121269,-143175,90693,86043
15.9,-120495,-142672,90754,86048
17.9,-120027,-142349,90742,86003
19.9,-119477,-141912,90954,86179
21.9,-119505,-141821,91456,86701
23.9,-120236,-142304,91674,86984
25.9,-120945,-142873,91541,86893
27.9,-121579,-143309,91477,86850
29.9,-122257,-143687,91339,86737
31.9,-122226,-143673,90967,86349
33.9,-121276,-143082,90780,86099
35.9,-120381,-142412,90827,86105
37.9,-119938,-142029,90799,86064
39.9,-119584,-141856,90957,86200
41.9,-119588,-141969,91460,86702
43.9,-120242,-142395,91724,87021
45.9,-120981,-142790,91554,86914
47.9,-121515,-143066,91397,86776
49.9,-122076,-143411,91257,86612
51.9,-122228,-143541,90942,86252
53.9,-121524,-143110,90747,86019
55.9,-120597,-142450,90808,86062
57.9,-120041,-141999,90894,86133
59.9,-119696,-141794,91099,86324
61.9,-119658,-141865,91500,86755
63.88,-120175,-142194,91706,87030
65.85,-120797,-142512,91604,86984
67.83,-121118,-142749,91517,86923
69.8,-121346,-142991,91419,86841
71.8,-121437,-142989,91165,86569
73.8,-121049,-142596,90996,86335
75.8,-120345,-142157,91018,86294
77.8,-119712,-141843,91061,86310
79.8,-119334,-141557,91230,86475
81.8,-119451,-141538,91601,86864
83.8,-120072,-141909,91823,87120
85.8,-120698,-142236,91740,87061
87.8,-121090,-142375,91612,86941
89.8,-121443,-142644,91495,86827
91.8,-121564,-142839,91281,86589
93.8,-121097,-142480,91102,86358
95.8,-120327,-141833,91075,86292
97.8,-119726,-141449,91147,86359
99.8,-119411,-141325,91345,86568
101.8,-119506,-141339,91628,86871
103.8,-120059,-141612,91775,87055
105.8,-120663,-142089,91786,87105
107.8,-120977,-142488,91801,87146
109.8,-121100,-142651,91711,87066
111.8,-121074,-142560,91462,86808
113.8,-120792,-142303,91316,86637
115.8,-120342,-142038,91363,86654
117.8,-119824,-141758,91418,86691
119.8,-119346,-141420,91493,86772
121.8,-119315,-141288,91698,87004
123.8,-119880,-141570,91883,87212
125.8,-120487,-141940,91888,87221
127.8,-120781,-142041,91756,87087
129.8,-121016,-142030,91561,86883
131.8,-121103,-142109,91394,86690
133.8,-120647,-142108,91356,86624
135.8,-119978,-141872,91377,86635
137.8,-119683,-141543,91365,86629
139.8,-119589,-141314,91439,86716
141.8,-119476,-141311,91638,86953
143.78,-119737,-141596,91775,87139
145.75,-120440,-142012,91775,87166
147.73,-120955,-142277,91717,87116
149.7,-120982,-142320,91582,86988
151.7,-120779,-142235,91369,86769
153.7,-120469,-142020,91227,86590
155.7,-120035,-141690,91217,86538
157.7,-119674,-141427,91282,86596
159.7,-119560,-141388,91419,86762
161.7,-119646,-141512,91578,86959
163.7,-119866,-141646,91630,87044
165.7,-120198,-141742,91595,87036
167.7,-120564,-141877,91569,87026
169.7,-120821,-142076,91500,86949
171.7,-120807,-142163,91356,86779
173.7,-120471,-141964,91268,86671
175.7,-119995,-141614,91289,86684
177.7,-119649,-141361,91344,86720
179.7,-119543,-141205,91432,86789
181.7,-119612,-141048,91566,86939
183.7,-119786,-141012,91654,87066
185.7,-120075,-141249,91652,87075
187.7,-120472,-141614,91603,87003
189.7,-120800,-141795,91485,86863
191.7,-120817,-141693,91298,86662
193.7,-120502,-141494,91183,86525
195.7,-120090,-141405,91233,86545
197.7,-119843,-141431,91367,86659
199.7,-119860,-141454,91502,86792
201.7,-120026,-141440,91628,86933
203.7,-120160,-141470,91714,87042
205.7,-120289,-141639,91712,87052
207.7,-120570,-141919,91631,86966
209.7,-120911,-142121,91499,86827
211.7,-121007,-142090,91354,86674
213.7,-120783,-141888,91250,86552
215.7,-120454,-141650,91228,86501
217.7,-120212,-141400,91282,86535
219.7,-120145,-141212,91380,86634
221.7,-120271,-141265,91472,86744
223.68,-120501,-141534,91517,86811
225.65,-120723,-141789,91521,86838
227.63,-120914,-141939,91497,86836
229.6,-121051,-142054,91431,86773
231.6,-121054,-142105,91328,86647
233.6,-120871,-141994,91250,86544
235.6,-120515,-141751,91249,86536
237.6,-120122,-141518,91313,86600
239.6,-119962,-141403,91387,86673
241.6,-120162,-141382,91437,86730
243.6,-120502,-141392,91462,86775
245.6,-120733,-141513,91469,86800
247.6,-120873,-141842,91458,86794
249.6,-121006,-142208,91423,86754
251.6,-121093,-142326,91360,86676
253.6,-121053,-142168,91270,86565
255.6,-120811,-141891,91190,86480
257.6,-120392,-141607,91185,86493
259.6,-120086,-141434,91263,86592
261.6,-120198,-141501,91363,86697
263.6,-120595,-141741,91434,86764
265.6,-120880,-141951,91457,86790
267.6,-120938,-142036,91411,86754
269.6,-120944,-142035,91313,86661
271.6,-120981,-141998,91236,86574
273.6,-120939,-141942,91211,86521
275.6,-120714,-141807,91191,86475
277.6,-120358,-141512,91176,86458
279.6,-120102,-141181,91226,86532
281.6,-120134,-141126,91328,86668
283.6,-120383,-141420,91406,86765
285.6,-120621,-141729,91428,86774
287.6,-120731,-141770,91387,86707
289.6,-120726,-141676,91266,86584
291.6,-120663,-141672,91126,86459
293.6,-120600,-141704,91074,86412
295.6,-120516,-141647,91102,86435
297.6,-120330,-141558,91124,86458
299.6,-120118,-141529,91146,86485
301.5,-120101,-141579,91219,86561
303.5,-120337,-141722,91298,86654
305.5,-120664,-141905,91302,86687
307.5,-120903,-141984,91231,86630
309.5,-120939,-141936,91135,86519
311.5,-120775,-141868,91044,86411
313.5,-120611,-141811,90980,86345
315.5,-120599,-141742,90958,86330
317.5,-120568,-141708,90987,86362
319.5,-120361,-141686,91059,86431
321.5,-120200,-141588,91128,86491
323.5,-120360,-141515,91143,86506
325.5,-120735,-141680,91133,86518
327.5,-120990,-142014,91150,86554
329.5,-120953,-142228,91150,86534
331.5,-120751,-142227,91075,86421
333.5,-120660,-142133,90984,86318
335.5,-120745,-141989,90942,86288
337.5,-120727,-141796,90920,86276
339.5,-120451,-141675,90916,86284
341.5,-120208,-141711,90984,86372
343.5,-120305,-141842,91085,86483
345.5,-120647,-142030,91121,86505
347.5,-120951,-142233,91079,86453
349.5,-121049,-142261,91003,86385
351.5,-120921,-142086,90912,86303
353.5,-120723,-142026,90846,86225
355.5,-120667,-142176,90838,86191
357.5,-120725,-142184,90858,86198
359.5,-120694,-141961,90888,86233
361.5,-120582,-141900,90956,86302
363.5,-120582,-142130,91026,86361
365.5,-120743,-142336,91032,86361
367.5,-120980,-142387,90978,86319
369.5,-121185,-142414,90897,86242
371.5,-121201,-142393,90800,86131
373.48,-120973,-142262,90743,86070
375.45,-120729,-142146,90767,86115
377.43,-120703,-142150,90819,86180
379.4,-120790,-142227,90856,86201
381.4,-120768,-142289,90905,86241
383.4,-120655,-142232,90950,86310
385.4,-120636,-142074,90944,86338
387.4,-120805,-142065,90920,86321
389.4,-121040,-142258,90892,86290
391.4,-121069,-142288,90802,86217
393.4,-120796,-142013,90689,86130
395.4,-120504,-141847,90675,86118
397.4,-120485,-142000,90738,86174
399.4,-120634,-142128,90778,86222
401.4,-120665,-142022,90808,86261
403.4,-120554,-141904,90860,86299
405.4,-120525,-141913,90865,86283
407.4,-120701,-141980,90796,86212
409.4,-120932,-142106,90743,86163
411.4,-120973,-142270,90740,86155
413.4,-120795,-142315,90733,86143
415.4,-120601,-142188,90701,86121
417.4,-120533,-142008,90695,86121
419.4,-120553,-141893,90742,86159
421.4,-120596,-141920,90805,86219
423.4,-120635,-142081,90826,86258
425.4,-120660,-142201,90794,86242
427.4,-120743,-142218,90760,86203
429.4,-120944,-142338,90754,86184
431.4,-121102,-142584,90760,86169
433.4,-121002,-142617,90768,86150
435.4,-120734,-142331,90801,86165
437.4,-120575,-142032,90865,86233
439.4,-120617,-141897,90947,86323
441.4,-120748,-141830,91051,86416
443.4,-120849,-141772,91154,86497
445.4,-120861,-141713,91194,86518
447.4,-120821,-141640,91162,86478
449.4,-120857,-141661,91131,86446
451.4,-120988,-141796,91126,86429
453.38,-121027,-141820,91106,86384
455.35,-120843,-141671,91091,86360
457.33,-120595,-141611,91160,86452
459.3,-120531,-141712,91280,86609
461.3,-120664,-141748,91335,86697
463.3,-120792,-141650,91329,86721
465.3,-120787,-141529,91361,86772
467.3,-120757,-141418,91423,86833
469.3,-120864,-141348,91438,86823
471.3,-121051,-141356,91427,86775
