t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
2.3,-4.3513,-9.3977,-116.89,-79.484
12.1,-10.351,-10.398,-117.89,-80.484
22.0,-9.3513,-9.3977,-115.89,-79.484
31.9,4.6487,-5.3977,-114.89,-79.484
41.8,24.649,2.6023,-114.89,-78.484
51.7,48.649,7.6023,-114.89,-78.484
61.6,70.649,13.602,-116.89,-79.484
71.5,88.649,17.602,-121.89,-80.484
81.3,99.649,20.602,-125.89,-84.484
91.2,103.65,20.602,-125.89,-86.484
101.1,104.65,21.602,-123.89,-86.484
111.0,102.65,20.602,-120.89,-85.484
120.9,99.649,19.602,-114.89,-84.484
130.8,94.649,18.602,-111.89,-82.484
140.7,89.649,16.602,-105.89,-80.484
150.5,85.649,15.602,-102.89,-79.484
160.4,79.649,14.602,-101.89,-79.484
170.3,73.649,13.602,-101.89,-79.484
180.2,70.649,12.602,-100.89,-77.484
190.1,63.649,11.602,-100.89,-78.484
200.0,61.649,10.602,-99.889,-77.484
209.9,57.649,11.602,-98.889,-75.484
219.7,56.649,9.6023,-99.889,-75.484
229.6,54.649,9.6023,-98.889,-74.484
239.5,52.649,8.6023,-97.889,-74.484
249.4,50.649,8.6023,-97.889,-74.484
259.3,47.649,6.6023,-102.89,-75.484
269.2,47.649,7.6023,-102.89,-75.484
279.1,44.649,7.6023,-102.89,-75.484
288.9,41.649,7.6023,-102.89,-75.484
298.8,37.649,6.6023,-105.89,-76.484
308.7,34.649,5.6023,-105.89,-76.484
318.6,31.649,5.6023,-106.89,-76.484
328.5,27.649,4.6023,-106.89,-76.484
338.4,24.649,3.6023,-106.89,-76.484
348.3,19.649,2.6023,-106.89,-76.484
358.1,16.649,1.6023,-109.89,-76.484
368.0,11.649,0.60232,-109.89,-76.484
377.9,7.6487,0.60232,-112.89,-77.484
387.8,2.6487,-1.3977,-112.89,-77.484
397.7,-1.3513,-1.3977,-113.89,-78.484
407.6,-7.3513,-1.3977,-113.89,-78.484
417.5,-10.351,-3.3977,-117.89,-79.484
427.3,-13.351,-4.3977,-117.89,-79.484
437.2,-13.351,-4.3977,-120.89,-80.484
447.1,-19.351,-5.3977,-120.89,-81.484
457.0,-19.351,-5.3977,-121.89,-81.484
466.9,2.6487,2.6023,-123.89,-81.484
476.8,2.6487,2.6023,-124.89,-81.484
486.7,47.649,15.602,-127.89,-81.484
496.5,47.649,15.602,-128.89,-81.484
506.4,80.649,23.602,-132.89,-85.484
516.3,80.649,23.602,-139.89,-87.484
526.2,92.649,25.602,-144.89,-93.484
536.1,92.649,25.602,-146.89,-93.484
546.0,91.649,24.602,-141.89,-93.484
555.9,91.649,24.602,-134.89,-91.484
565.7,83.649,21.602,-132.89,-89.484
575.6,83.649,21.602,-127.89,-88.484
585.5,77.649,20.602,-125.89,-88.484
595.4,71.649,17.602,-127.89,-89.484
